Country,Afghanistan,Albania,Argentina,Australia,Austria,Bangladesh,Belarus,Belgium,Belize,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,Costa Rica,Cote d'Ivoire,Croatia,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Finland,France,Georgia,Germany,Ghana,Greece,Guatemala,Honduras,"Hong Kong SAR, China",Hungary,India,Indonesia,Iran,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kyrgyzstan,Lebanon,Liberia,"Macedonia, FYR",Madagascar,Malawi,Malaysia,Mexico,Moldova,Mongolia,Morocco,Myanmar,Nepal,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Republic of Korea,Romania,Russia,Senegal,Serbia,Sierra Leone,Singapore,Slovenia,South Africa,Spain,Sri Lanka,Sweden,Tanzania,Thailand,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Zambia,Zimbabwe
4.6 Freedom from arbitrary interference with privacy is effectively guaranteed,0.23,0.48,0.61,0.88,0.98,0.24,0.23,0.83,0.31,0.52,0.58,0.28,0.56,0.48,0.29,0.28,0.42,0.77,0.86,0.22,0.54,0.83,0.20,0.51,0.83,0.87,0.53,0.41,0.11,0.63,0.76,0.09,1.00,0.72,0.39,0.84,0.68,0.65,0.58,0.34,0.72,0.66,0.47,0.39,0.07,0.77,0.61,0.84,0.46,0.34,0.26,0.30,0.51,0.53,0.39,0.17,0.52,0.60,0.66,0.40,0.51,0.23,0.19,0.44,0.81,0.73,0.27,0.35,0.87,0.24,0.58,0.52,0.40,0.89,0.72,0.66,0.61,0.30,0.37,0.39,0.41,0.62,0.73,0.53,0.84,0.21,0.94,0.55,0.28,0.23,0.15,0.11,0.49,0.44,0.69,0.67,0.77,0.17,0.06,0.60,0.41,0.04
4.7 Freedom of assembly and association is effectively guaranteed,0.65,0.68,0.71,0.89,0.92,0.53,0.36,0.89,0.63,0.61,0.68,0.70,0.69,0.73,0.68,0.51,0.62,0.88,0.83,0.19,0.62,0.87,0.64,0.76,0.84,0.97,0.72,0.49,0.46,0.64,0.84,0.28,0.91,0.88,0.74,0.93,0.80,0.76,0.69,0.60,0.55,0.61,0.68,0.72,0.17,0.82,0.77,0.79,0.43,0.41,0.68,0.66,0.71,0.74,0.70,0.62,0.79,0.37,0.66,0.72,0.74,0.54,0.31,0.72,0.88,0.86,0.49,0.62,0.95,0.63,0.66,0.73,0.71,0.81,0.90,0.72,0.79,0.46,0.81,0.70,0.60,0.56,0.75,0.77,0.80,0.57,0.96,0.60,0.60,0.72,0.35,0.45,0.83,0.25,0.85,0.87,0.86,0.25,0.42,0.32,0.47,0.21
4.8 Fundamental labor rights are effectively guaranteed,0.25,0.53,0.58,0.73,0.80,0.49,0.56,0.85,0.72,0.55,0.67,0.61,0.64,0.67,0.61,0.46,0.45,0.72,0.66,0.31,0.43,0.64,0.57,0.78,0.68,0.93,0.69,0.56,0.31,0.53,0.72,0.35,0.85,0.76,0.64,0.87,0.58,0.52,0.40,0.44,0.67,0.62,0.47,0.54,0.20,0.58,0.59,0.74,0.57,0.49,0.54,0.53,0.45,0.47,0.53,0.61,0.47,0.54,0.55,0.50,0.57,0.68,0.42,0.56,0.81,0.76,0.49,0.39,0.90,0.29,0.55,0.53,0.44,0.71,0.68,0.72,0.71,0.58,0.63,0.52,0.46,0.74,0.76,0.61,0.73,0.57,0.84,0.31,0.60,0.54,0.49,0.44,0.67,0.49,0.71,0.68,0.76,0.59,0.66,0.57,0.39,0.43
Factor 5: Order and Security,0.42,0.76,0.61,0.89,0.90,0.65,0.81,0.86,0.68,0.59,0.72,0.81,0.66,0.79,0.69,0.68,0.54,0.90,0.70,0.78,0.57,0.70,0.63,0.81,0.89,0.92,0.59,0.62,0.69,0.68,0.88,0.72,0.92,0.81,0.83,0.88,0.75,0.76,0.56,0.58,0.91,0.86,0.58,0.77,0.62,0.74,0.69,0.93,0.79,0.81,0.55,0.75,0.68,0.57,0.76,0.73,0.61,0.86,0.52,0.82,0.79,0.76,0.77,0.77,0.85,0.88,0.68,0.27,0.87,0.30,0.70,0.63,0.71,0.85,0.76,0.90,0.78,0.67,0.71,0.75,0.60,0.91,0.82,0.62,0.80,0.69,0.90,0.58,0.75,0.75,0.69,0.61,0.60,0.91,0.86,0.82,0.72,0.91,0.54,0.79,0.70,0.63
5.1 Crime is effectively controlled,0.68,0.85,0.54,0.91,0.92,0.74,0.91,0.87,0.65,0.68,0.86,0.80,0.54,0.87,0.80,0.86,0.62,0.92,0.78,0.79,0.50,0.69,0.78,0.97,0.87,0.92,0.63,0.51,0.84,0.58,0.88,0.78,0.92,0.88,0.96,0.90,0.80,0.81,0.45,0.41,0.94,0.86,0.73,0.95,0.55,0.83,0.80,0.92,0.94,0.85,0.74,0.84,0.80,0.63,0.87,0.72,0.58,0.85,0.47,0.88,0.82,0.87,0.89,0.85,0.91,0.89,0.67,0.34,0.91,0.58,0.70,0.55,0.73,0.94,0.88,0.90,0.89,0.84,0.83,0.91,0.37,0.94,0.91,0.51,0.87,0.93,0.91,0.53,0.86,0.82,0.89,0.73,0.88,0.98,0.90,0.83,0.74,0.90,0.37,0.92,0.71,0.51
5.2 Civil conflict is effectively limited,0.26,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.75,1.00,1.00,0.83,0.94,1.00,0.75,1.00,1.00,1.00,1.00,1.00,0.92,1.00,1.00,0.94,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.67,1.00,0.92,1.00,1.00,1.00,1.00,1.00,0.72,1.00,0.87,0.83,1.00,1.00,1.00,0.94,0.75,1.00,1.00,0.92,0.81,1.00,1.00,1.00,1.00,0.04,0.92,0.04,1.00,1.00,0.81,1.00,1.00,1.00,1.00,0.70,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.92,1.00,1.00,0.86,1.00,0.85,0.85,0.50,1.00,1.00,0.94,1.00,1.00,1.00,0.93,1.00,1.00
5.3 People do not resort to violence to redress personal grievances,0.33,0.42,0.28,0.75,0.78,0.20,0.53,0.71,0.40,0.09,0.31,0.64,0.45,0.50,0.27,0.18,0.24,0.78,0.33,0.73,0.29,0.40,0.37,0.45,0.80,0.84,0.15,0.35,0.32,0.47,0.74,0.43,0.83,0.54,0.52,0.73,0.45,0.46,0.24,0.31,0.77,0.72,0.35,0.35,0.40,0.40,0.29,0.86,0.44,0.57,0.20,0.42,0.36,0.26,0.42,0.46,0.26,0.80,0.33,0.59,0.54,0.50,0.59,0.45,0.65,0.73,0.38,0.42,0.78,0.29,0.41,0.33,0.60,0.60,0.39,0.80,0.46,0.46,0.30,0.36,0.45,0.79,0.54,0.35,0.54,0.24,0.79,0.21,0.53,0.44,0.32,0.23,0.44,0.74,0.69,0.70,0.41,0.82,0.26,0.53,0.39,0.37
Factor 6: Regulatory Enforcement,0.36,0.45,0.43,0.81,0.81,0.37,0.55,0.73,0.44,0.40,0.53,0.66,0.51,0.49,0.46,0.33,0.39,0.77,0.65,0.46,0.49,0.62,0.46,0.48,0.63,0.81,0.42,0.49,0.39,0.48,0.75,0.36,0.79,0.74,0.62,0.77,0.57,0.54,0.40,0.40,0.75,0.51,0.45,0.51,0.54,0.56,0.53,0.76,0.51,0.51,0.45,0.42,0.41,0.37,0.50,0.40,0.44,0.47,0.50,0.42,0.48,0.53,0.40,0.50,0.82,0.82,0.41,0.44,0.86,0.36,0.54,0.50,0.50,0.60,0.57,0.78,0.54,0.46,0.52,0.43,0.39,0.86,0.60,0.55,0.62,0.49,0.82,0.43,0.51,0.52,0.51,0.39,0.42,0.68,0.77,0.73,0.73,0.42,0.26,0.41,0.45,0.35
6.1 Government regulations are effectively enforced,0.35,0.50,0.38,0.78,0.81,0.38,0.59,0.76,0.37,0.37,0.46,0.66,0.51,0.58,0.40,0.29,0.42,0.70,0.60,0.57,0.46,0.61,0.40,0.55,0.65,0.80,0.31,0.53,0.52,0.42,0.82,0.36,0.77,0.72,0.62,0.69,0.47,0.52,0.33,0.33,0.65,0.49,0.38,0.50,0.55,0.56,0.50,0.70,0.44,0.58,0.53,0.47,0.34,0.41,0.50,0.36,0.43,0.44,0.42,0.54,0.56,0.54,0.29,0.46,0.77,0.80,0.40,0.40,0.77,0.32,0.52,0.44,0.51,0.60,0.63,0.62,0.54,0.54,0.46,0.38,0.41,0.80,0.61,0.51,0.65,0.57,0.78,0.41,0.44,0.53,0.55,0.37,0.42,0.75,0.72,0.67,0.72,0.53,0.42,0.55,0.48,0.34
6.2 Government regulations are applied and enforced without improper influence,0.31,0.42,0.57,0.92,0.89,0.26,0.55,0.85,0.59,0.44,0.40,0.78,0.63,0.45,0.53,0.26,0.37,0.85,0.73,0.49,0.60,0.62,0.49,0.49,0.73,0.93,0.49,0.58,0.53,0.55,0.85,0.43,0.90,0.83,0.84,0.84,0.56,0.49,0.50,0.46,0.86,0.59,0.46,0.61,0.50,0.66,0.71,0.89,0.59,0.51,0.47,0.37,0.38,0.34,0.52,0.36,0.33,0.60,0.51,0.52,0.44,0.57,0.50,0.52,0.87,0.92,0.55,0.37,0.92,0.37,0.67,0.53,0.62,0.60,0.75,0.82,0.51,0.48,0.54,0.45,0.35,0.96,0.69,0.59,0.77,0.58,0.91,0.39,0.57,0.59,0.56,0.25,0.35,0.89,0.89,0.84,0.84,0.37,0.44,0.33,0.42,0.32
6.3 Administrative proceedings are conducted without unreasonable delay,0.42,0.44,0.39,0.77,0.79,0.36,0.67,0.55,0.29,0.46,0.51,0.54,0.32,0.50,0.36,0.60,0.26,0.74,0.73,0.53,0.39,0.63,0.42,0.39,0.51,0.79,0.41,0.47,0.02,0.50,0.75,0.34,0.77,0.66,0.59,0.73,0.46,0.61,0.38,0.43,0.78,0.51,0.41,0.48,0.55,0.43,0.35,0.73,0.44,0.55,0.32,0.47,0.48,0.33,0.50,0.44,0.33,0.47,0.42,0.50,0.53,0.49,0.50,0.48,0.83,0.77,0.36,0.40,0.86,0.27,0.45,0.43,0.39,0.51,0.45,0.95,0.49,0.54,0.43,0.40,0.32,0.83,0.59,0.41,0.52,0.42,0.89,0.30,0.47,0.40,0.55,0.38,0.50,0.69,0.69,0.60,0.64,0.70,0.14,0.38,0.45,0.37
6.4 Due process is respected in administrative proceedings,0.26,0.43,0.35,0.73,0.75,0.33,0.56,0.68,0.44,0.32,0.61,0.51,0.50,0.45,0.38,0.24,0.38,0.73,0.45,0.32,0.33,0.61,0.34,0.46,0.57,0.73,0.31,0.38,0.42,0.38,0.52,0.18,0.76,0.67,0.45,0.77,0.59,0.43,0.31,0.25,0.74,0.46,0.39,0.37,0.54,0.53,0.44,0.70,0.50,0.41,0.35,0.40,0.39,0.42,0.38,0.37,0.47,0.48,0.48,0.17,0.37,0.43,0.39,0.53,0.74,0.78,0.29,0.47,0.85,0.35,0.43,0.44,0.48,0.60,0.40,0.81,0.53,0.40,0.53,0.30,0.38,0.92,0.47,0.57,0.57,0.42,0.68,0.44,0.55,0.42,0.31,0.47,0.45,0.44,0.77,0.79,0.60,0.33,0.11,0.44,0.55,0.42
6.5 The government does not expropriate without lawful process and adequate compensation,0.49,0.45,0.44,0.83,0.81,0.52,0.40,0.83,0.52,0.41,0.64,0.81,0.57,0.49,0.61,0.28,0.53,0.81,0.75,0.38,0.67,0.63,0.65,0.53,0.69,0.81,0.56,0.49,0.47,0.52,0.80,0.49,0.75,0.81,0.61,0.84,0.74,0.66,0.49,0.53,0.70,0.49,0.60,0.60,0.58,0.64,0.64,0.78,0.58,0.51,0.57,0.38,0.46,0.36,0.58,0.48,0.65,0.38,0.65,0.39,0.51,0.64,0.32,0.53,0.91,0.84,0.45,0.55,0.91,0.49,0.63,0.63,0.52,0.69,0.61,0.70,0.62,0.35,0.66,0.61,0.50,0.81,0.63,0.69,0.60,0.46,0.85,0.58,0.52,0.65,0.58,0.48,0.37,0.64,0.77,0.74,0.86,0.19,0.20,0.33,0.37,0.30
Factor 7: Civil Justice,0.32,0.50,0.55,0.74,0.79,0.39,0.62,0.72,0.49,0.37,0.52,0.61,0.53,0.54,0.47,0.29,0.37,0.70,0.61,0.48,0.51,0.63,0.54,0.54,0.69,0.83,0.51,0.41,0.39,0.51,0.75,0.36,0.78,0.70,0.63,0.82,0.61,0.59,0.36,0.45,0.76,0.53,0.42,0.43,0.56,0.58,0.52,0.74,0.62,0.51,0.47,0.46,0.45,0.44,0.57,0.41,0.52,0.57,0.44,0.43,0.55,0.51,0.37,0.42,0.86,0.78,0.36,0.50,0.86,0.40,0.50,0.43,0.46,0.65,0.65,0.80,0.63,0.50,0.53,0.47,0.43,0.84,0.64,0.56,0.64,0.47,0.81,0.51,0.46,0.52,0.49,0.48,0.49,0.63,0.74,0.67,0.71,0.49,0.35,0.46,0.47,0.45
7.1 People can access and afford civil justice,0.37,0.56,0.58,0.50,0.66,0.42,0.53,0.64,0.56,0.45,0.57,0.47,0.58,0.56,0.39,0.31,0.40,0.55,0.66,0.57,0.53,0.69,0.55,0.63,0.68,0.73,0.58,0.47,0.39,0.56,0.57,0.33,0.59,0.62,0.60,0.68,0.46,0.61,0.35,0.52,0.66,0.53,0.31,0.44,0.53,0.62,0.47,0.52,0.53,0.44,0.41,0.55,0.48,0.39,0.63,0.37,0.45,0.43,0.44,0.48,0.49,0.43,0.36,0.42,0.72,0.71,0.40,0.49,0.72,0.47,0.59,0.43,0.50,0.60,0.63,0.63,0.62,0.53,0.43,0.51,0.56,0.66,0.63,0.47,0.73,0.50,0.71,0.47,0.49,0.48,0.47,0.43,0.52,0.46,0.58,0.47,0.75,0.47,0.53,0.42,0.42,0.53
7.2 Civil justice is free of discrimination,0.11,0.52,0.65,0.54,0.77,0.36,0.73,0.82,0.38,0.42,0.68,0.44,0.63,0.61,0.54,0.23,0.43,0.59,0.54,0.47,0.62,0.62,0.58,0.57,0.85,0.90,0.67,0.42,0.48,0.58,0.87,0.28,0.86,0.71,0.68,0.83,0.63,0.68,0.34,0.34,0.76,0.54,0.43,0.29,0.47,0.61,0.48,0.76,0.75,0.40,0.46,0.40,0.43,0.36,0.67,0.60,0.53,0.53,0.34,0.48,0.57,0.56,0.37,0.29,0.92,0.73,0.39,0.58,0.87,0.37,0.62,0.48,0.50,0.77,0.81,0.71,0.75,0.54,0.54,0.69,0.51,0.97,0.73,0.47,0.76,0.43,0.73,0.62,0.57,0.62,0.54,0.57,0.70,0.42,0.62,0.52,0.75,0.58,0.63,0.67,0.43,0.54
7.3 Civil justice is free of corruption,0.10,0.35,0.59,0.92,0.88,0.28,0.62,0.86,0.57,0.22,0.59,0.83,0.61,0.47,0.45,0.15,0.27,0.90,0.65,0.38,0.52,0.74,0.46,0.55,0.73,0.96,0.40,0.40,0.63,0.42,0.88,0.25,0.92,0.81,0.65,0.89,0.55,0.72,0.44,0.42,0.85,0.65,0.47,0.33,0.47,0.68,0.68,0.96,0.77,0.41,0.40,0.33,0.37,0.30,0.40,0.26,0.53,0.66,0.37,0.18,0.51,0.48,0.27,0.40,0.95,0.93,0.34,0.47,0.93,0.39,0.52,0.35,0.48,0.79,0.77,0.89,0.63,0.48,0.53,0.41,0.27,0.89,0.70,0.63,0.71,0.57,0.93,0.36,0.66,0.46,0.55,0.37,0.35,0.81,0.89,0.85,0.81,0.38,0.26,0.31,0.45,0.44
7.4 Civil justice is free of improper government influence,0.33,0.43,0.35,0.91,0.86,0.37,0.33,0.76,0.45,0.23,0.49,0.62,0.59,0.46,0.46,0.19,0.30,0.85,0.74,0.25,0.55,0.77,0.43,0.56,0.72,0.93,0.40,0.26,0.46,0.39,0.86,0.25,0.87,0.69,0.52,0.88,0.75,0.63,0.35,0.26,0.78,0.50,0.63,0.48,0.39,0.72,0.70,0.72,0.58,0.37,0.52,0.39,0.41,0.44,0.40,0.26,0.45,0.41,0.54,0.33,0.50,0.47,0.22,0.51,0.92,0.83,0.17,0.50,0.95,0.47,0.31,0.44,0.47,0.77,0.76,0.75,0.63,0.31,0.50,0.39,0.35,0.84,0.65,0.61,0.66,0.39,0.89,0.42,0.47,0.52,0.31,0.42,0.31,0.67,0.84,0.77,0.72,0.39,0.05,0.24,0.44,0.17
7.5 Civil justice is not subject to unreasonable delay,0.42,0.45,0.30,0.59,0.71,0.36,0.75,0.45,0.39,0.26,0.38,0.55,0.28,0.34,0.47,0.40,0.34,0.47,0.42,0.73,0.23,0.31,0.63,0.21,0.40,0.61,0.39,0.26,0.30,0.46,0.63,0.43,0.57,0.59,0.60,0.75,0.54,0.19,0.19,0.36,0.74,0.33,0.24,0.60,0.64,0.32,0.33,0.62,0.48,0.77,0.38,0.53,0.37,0.46,0.56,0.37,0.40,0.63,0.36,0.38,0.66,0.57,0.42,0.44,0.76,0.73,0.31,0.35,0.84,0.35,0.34,0.27,0.27,0.35,0.34,0.80,0.49,0.66,0.51,0.35,0.47,0.93,0.42,0.47,0.40,0.35,0.69,0.42,0.42,0.47,0.38,0.39,0.56,0.72,0.73,0.59,0.56,0.70,0.19,0.58,0.49,0.47
7.6. Civil justice is effectively enforced,0.47,0.56,0.65,0.81,0.93,0.46,0.69,0.74,0.48,0.38,0.26,0.61,0.32,0.58,0.30,0.20,0.28,0.73,0.55,0.48,0.42,0.54,0.54,0.51,0.69,0.81,0.46,0.37,0.16,0.55,0.66,0.43,0.86,0.71,0.67,0.88,0.59,0.48,0.20,0.53,0.73,0.51,0.38,0.35,0.68,0.40,0.35,0.73,0.58,0.62,0.51,0.43,0.47,0.63,0.62,0.42,0.57,0.55,0.41,0.57,0.51,0.49,0.47,0.42,0.90,0.71,0.31,0.46,0.89,0.24,0.45,0.37,0.46,0.58,0.49,0.88,0.61,0.35,0.53,0.34,0.39,0.88,0.54,0.57,0.47,0.44,0.90,0.56,0.13,0.48,0.46,0.52,0.36,0.67,0.71,0.67,0.67,0.41,0.28,0.41,0.51,0.55
"7.7 Alternative dispute resolution mechanisms are accessible, impartial, and effective",0.43,0.65,0.72,0.90,0.72,0.47,0.69,0.77,0.63,0.61,0.64,0.76,0.67,0.75,0.68,0.56,0.53,0.83,0.72,0.52,0.71,0.77,0.63,0.73,0.75,0.87,0.65,0.71,0.35,0.58,0.80,0.53,0.76,0.75,0.71,0.87,0.73,0.81,0.68,0.72,0.78,0.68,0.46,0.53,0.72,0.69,0.60,0.87,0.63,0.60,0.59,0.56,0.63,0.52,0.69,0.59,0.71,0.77,0.63,0.58,0.64,0.60,0.51,0.50,0.84,0.81,0.57,0.64,0.79,0.50,0.66,0.64,0.53,0.72,0.77,0.90,0.71,0.64,0.71,0.59,0.44,0.74,0.82,0.72,0.77,0.62,0.82,0.71,0.51,0.59,0.75,0.64,0.61,0.64,0.82,0.81,0.73,0.48,0.51,0.58,0.55,0.47
Factor 8: Criminal Justice,0.24,0.43,0.39,0.77,0.82,0.33,0.48,0.67,0.29,0.25,0.51,0.61,0.37,0.44,0.36,0.28,0.32,0.72,0.56,0.45,0.34,0.57,0.38,0.58,0.69,0.84,0.37,0.35,0.43,0.34,0.71,0.39,0.85,0.66,0.54,0.76,0.50,0.49,0.30,0.21,0.79,0.55,0.47,0.35,0.39,0.63,0.46,0.74,0.55,0.42,0.32,0.34,0.39,0.32,0.44,0.35,0.45,0.58,0.31,0.34,0.42,0.33,0.30,0.42,0.75,0.77,0.33,0.36,0.82,0.31,0.32,0.34,0.38,0.74,0.67,0.76,0.60,0.36,0.44,0.38,0.33,0.82,0.63,0.50,0.62,0.45,0.78,0.37,0.43,0.49,0.35,0.34,0.36,0.77,0.76,0.64,0.54,0.44,0.16,0.50,0.38,0.36
8.1 Criminal investigation system is effective,0.35,0.46,0.28,0.68,0.63,0.29,0.54,0.55,0.32,0.26,0.45,0.63,0.26,0.33,0.32,0.32,0.38,0.65,0.43,0.56,0.27,0.47,0.25,0.70,0.54,0.67,0.34,0.40,0.45,0.24,0.46,0.40,0.67,0.54,0.33,0.58,0.45,0.42,0.24,0.14,0.66,0.48,0.44,0.44,0.40,0.51,0.40,0.68,0.53,0.48,0.24,0.48,0.40,0.30,0.59,0.35,0.39,0.64,0.26,0.39,0.34,0.41,0.33,0.43,0.50,0.68,0.36,0.41,0.65,0.27,0.24,0.31,0.48,0.79,0.47,0.62,0.64,0.38,0.38,0.40,0.49,0.68,0.61,0.47,0.45,0.49,0.52,0.40,0.46,0.44,0.42,0.34,0.28,0.70,0.70,0.71,0.41,0.61,0.18,0.42,0.37,0.50
8.2 Criminal adjudication system is timely and effective,0.35,0.47,0.30,0.76,0.87,0.40,0.55,0.65,0.28,0.16,0.58,0.53,0.34,0.46,0.49,0.41,0.45,0.68,0.57,0.50,0.30,0.43,0.50,0.60,0.71,0.78,0.45,0.38,0.44,0.26,0.65,0.40,0.80,0.69,0.56,0.69,0.47,0.51,0.24,0.19,0.79,0.57,0.39,0.48,0.46,0.56,0.41,0.65,0.60,0.64,0.39,0.53,0.48,0.38,0.49,0.56,0.48,0.50,0.33,0.44,0.45,0.34,0.41,0.52,0.65,0.75,0.52,0.39,0.76,0.34,0.27,0.23,0.31,0.64,0.46,0.80,0.57,0.45,0.53,0.38,0.34,0.85,0.60,0.47,0.54,0.37,0.70,0.51,0.58,0.53,0.33,0.34,0.43,0.80,0.79,0.68,0.38,0.75,0.13,0.52,0.47,0.52
8.3 Correctional system is effective in reducing criminal behavior,0.21,0.33,0.29,0.71,0.84,0.33,0.42,0.43,0.13,0.02,0.37,0.54,0.19,0.47,0.27,0.27,0.17,0.67,0.26,0.52,0.22,0.34,0.37,0.47,0.60,0.83,0.24,0.27,0.31,0.18,0.68,0.37,0.82,0.57,0.55,0.80,0.35,0.27,0.16,0.08,0.80,0.46,0.48,0.13,0.40,0.44,0.23,0.66,0.43,0.38,0.33,0.26,0.22,0.22,0.36,0.25,0.24,0.50,0.22,0.28,0.37,0.25,0.16,0.37,0.79,0.69,0.28,0.22,0.79,0.27,0.13,0.18,0.29,0.66,0.63,0.78,0.44,0.37,0.20,0.39,0.20,0.97,0.55,0.35,0.69,0.48,0.82,0.16,0.44,0.45,0.41,0.41,0.43,0.77,0.63,0.51,0.36,0.50,0.02,0.51,0.19,0.34
8.4 Criminal system is impartial,0.13,0.48,0.52,0.57,0.70,0.42,0.70,0.58,0.33,0.45,0.59,0.61,0.26,0.52,0.45,0.37,0.46,0.61,0.55,0.36,0.33,0.55,0.45,0.52,0.73,0.77,0.33,0.36,0.50,0.36,0.70,0.44,0.83,0.61,0.57,0.68,0.50,0.37,0.35,0.28,0.79,0.46,0.41,0.24,0.40,0.58,0.33,0.73,0.49,0.28,0.30,0.23,0.35,0.38,0.47,0.41,0.48,0.53,0.25,0.36,0.43,0.40,0.24,0.40,0.72,0.66,0.30,0.48,0.77,0.28,0.42,0.52,0.26,0.69,0.68,0.64,0.65,0.43,0.63,0.33,0.31,0.85,0.63,0.52,0.54,0.51,0.65,0.28,0.25,0.46,0.23,0.35,0.47,0.75,0.65,0.42,0.61,0.35,0.29,0.68,0.48,0.48
8.5 Criminal system is free of corruption,0.22,0.39,0.52,0.88,0.89,0.28,0.48,0.84,0.51,0.30,0.53,0.83,0.53,0.35,0.39,0.19,0.25,0.84,0.73,0.60,0.44,0.68,0.38,0.59,0.72,0.97,0.40,0.39,0.54,0.45,0.85,0.47,0.93,0.80,0.77,0.88,0.44,0.65,0.34,0.34,0.86,0.58,0.55,0.41,0.49,0.73,0.62,0.93,0.66,0.46,0.24,0.31,0.44,0.27,0.51,0.29,0.43,0.77,0.27,0.29,0.44,0.46,0.39,0.42,0.88,0.93,0.43,0.30,0.92,0.34,0.52,0.30,0.55,0.76,0.80,0.88,0.60,0.42,0.58,0.41,0.27,0.92,0.60,0.56,0.73,0.61,0.90,0.39,0.58,0.57,0.53,0.24,0.27,0.88,0.86,0.78,0.76,0.32,0.29,0.56,0.38,0.30
8.6 Criminal system is free of improper government influence,0.20,0.38,0.30,0.96,0.92,0.26,0.18,0.86,0.19,0.13,0.40,0.59,0.68,0.39,0.23,0.13,0.13,0.88,0.79,0.11,0.38,0.79,0.39,0.59,0.74,0.96,0.35,0.13,0.46,0.45,0.84,0.25,0.99,0.70,0.46,0.87,0.78,0.65,0.31,0.13,0.87,0.66,0.62,0.42,0.19,0.87,0.75,0.80,0.55,0.26,0.50,0.18,0.38,0.35,0.19,0.22,0.77,0.55,0.48,0.23,0.47,0.19,0.26,0.44,0.89,0.87,0.08,0.42,0.92,0.40,0.27,0.38,0.35,0.92,0.94,0.79,0.64,0.08,0.30,0.29,0.35,0.74,0.68,0.65,0.60,0.27,0.93,0.60,0.36,0.51,0.14,0.40,0.23,0.78,0.90,0.74,0.66,0.22,0.00,0.29,0.40,0.12
8.7. Due process of law and the rights of the accused,0.27,0.51,0.54,0.80,0.87,0.31,0.50,0.77,0.28,0.43,0.64,0.54,0.36,0.56,0.41,0.30,0.37,0.74,0.62,0.48,0.42,0.74,0.33,0.62,0.80,0.89,0.44,0.51,0.28,0.42,0.77,0.38,0.92,0.73,0.55,0.83,0.47,0.58,0.47,0.28,0.79,0.64,0.39,0.35,0.37,0.69,0.44,0.69,0.56,0.44,0.26,0.35,0.43,0.30,0.47,0.34,0.34,0.56,0.36,0.37,0.44,0.26,0.29,0.38,0.82,0.82,0.35,0.29,0.91,0.27,0.41,0.46,0.39,0.71,0.71,0.78,0.64,0.40,0.43,0.49,0.38,0.74,0.74,0.50,0.77,0.43,0.90,0.29,0.35,0.49,0.41,0.29,0.43,0.70,0.82,0.68,0.59,0.35,0.22,0.52,0.35,0.27
