Country,Afghanistan,Albania,Argentina,Australia,Austria,Bangladesh,Belarus,Belgium,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,Cote d'Ivoire,Croatia,Czech Republic,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Finland,France,Georgia,Germany,Ghana,Greece,Guatemala,"Hong Kong SAR, China",Hungary,India,Indonesia,Iran,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kyrgyzstan,Lebanon,Liberia,"Macedonia, FYR",Madagascar,Malawi,Malaysia,Mexico,Moldova,Mongolia,Morocco,Myanmar,Nepal,Netherlands,New Zealand,Nicaragua,Nigeria,Norway,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Republic of Korea,Romania,Russia,Senegal,Serbia,Sierra Leone,Singapore,Slovenia,South Africa,Spain,Sri Lanka,Sweden,Tanzania,Thailand,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Zambia,Zimbabwe
5.1 Crime is effectively controlled,0.68,0.85,0.53,0.89,0.93,0.73,0.87,0.85,0.66,0.84,0.79,0.58,0.86,0.77,0.85,0.61,0.88,0.81,0.78,0.51,0.65,0.94,0.83,0.90,0.61,0.46,0.84,0.57,0.85,0.65,0.84,0.86,0.99,0.90,0.78,0.82,0.43,0.93,0.88,0.71,0.95,0.54,0.80,0.78,0.91,0.92,0.83,0.72,0.81,0.87,0.56,0.84,0.70,0.62,0.85,0.42,0.84,0.76,0.83,0.89,0.87,0.89,0.88,0.71,0.34,0.91,0.53,0.71,0.54,0.72,0.92,0.82,0.89,0.86,0.81,0.80,0.87,0.34,0.91,0.88,0.48,0.87,0.90,0.90,0.50,0.86,0.84,0.86,0.71,0.90,0.96,0.88,0.87,0.72,0.91,0.35,0.92,0.71,0.49
5.2 Civil conflict is effectively limited,0.26,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.94,0.75,1.00,1.00,1.00,1.00,1.00,0.92,1.00,1.00,0.94,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.51,1.00,0.92,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.83,1.00,1.00,1.00,1.00,0.75,1.00,1.00,0.92,0.69,1.00,1.00,1.00,1.00,0.31,0.92,0.09,1.00,1.00,0.88,1.00,1.00,1.00,1.00,0.68,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.87,1.00,1.00,0.81,1.00,0.73,0.92,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.93,1.00,1.00
5.3 People do not resort to violence to redress personal grievances,0.31,0.36,0.29,0.69,0.70,0.19,0.51,0.71,0.17,0.44,0.67,0.41,0.50,0.29,0.35,0.28,0.69,0.32,0.65,0.31,0.41,0.38,0.61,0.82,0.18,0.26,0.26,0.42,0.67,0.38,0.82,0.56,0.57,0.70,0.39,0.40,0.21,0.78,0.66,0.33,0.35,0.44,0.42,0.17,0.84,0.63,0.55,0.17,0.41,0.42,0.24,0.42,0.57,0.39,0.75,0.24,0.48,0.56,0.54,0.57,0.31,0.64,0.74,0.28,0.42,0.73,0.27,0.42,0.35,0.58,0.56,0.35,0.78,0.56,0.44,0.20,0.35,0.43,0.82,0.45,0.33,0.51,0.38,0.77,0.22,0.57,0.47,0.43,0.19,0.55,0.69,0.65,0.68,0.36,0.77,0.23,0.55,0.37,0.35
Factor 6: Regulatory Enforcement,0.33,0.45,0.43,0.80,0.81,0.37,0.53,0.71,0.38,0.51,0.68,0.53,0.47,0.55,0.36,0.36,0.79,0.68,0.41,0.50,0.47,0.49,0.63,0.84,0.42,0.48,0.42,0.49,0.75,0.38,0.78,0.75,0.57,0.74,0.53,0.54,0.39,0.74,0.57,0.40,0.52,0.53,0.59,0.56,0.78,0.54,0.46,0.41,0.44,0.44,0.33,0.53,0.40,0.41,0.51,0.50,0.41,0.43,0.54,0.37,0.47,0.82,0.81,0.43,0.40,0.87,0.35,0.48,0.46,0.46,0.59,0.59,0.74,0.52,0.44,0.55,0.45,0.39,0.79,0.59,0.53,0.63,0.44,0.83,0.43,0.46,0.52,0.54,0.37,0.40,0.66,0.78,0.67,0.73,0.47,0.28,0.39,0.43,0.32
6.1 Government regulations are effectively enforced,0.34,0.51,0.41,0.78,0.78,0.37,0.59,0.77,0.34,0.50,0.74,0.59,0.57,0.50,0.38,0.40,0.73,0.61,0.46,0.44,0.38,0.58,0.68,0.87,0.37,0.50,0.47,0.43,0.83,0.41,0.78,0.73,0.62,0.74,0.53,0.53,0.34,0.67,0.72,0.34,0.47,0.57,0.67,0.57,0.73,0.49,0.60,0.51,0.48,0.46,0.37,0.47,0.42,0.36,0.49,0.45,0.54,0.49,0.55,0.27,0.45,0.78,0.82,0.48,0.38,0.85,0.27,0.50,0.40,0.46,0.60,0.67,0.66,0.53,0.55,0.52,0.39,0.45,0.85,0.50,0.53,0.68,0.55,0.83,0.40,0.43,0.58,0.57,0.33,0.41,0.78,0.76,0.69,0.78,0.68,0.45,0.54,0.47,0.38
6.2 Government regulations are applied and enforced without improper influence,0.31,0.40,0.57,0.92,0.89,0.25,0.59,0.86,0.45,0.44,0.79,0.70,0.44,0.58,0.37,0.36,0.83,0.79,0.54,0.60,0.48,0.53,0.77,0.92,0.53,0.57,0.46,0.55,0.89,0.56,0.87,0.84,0.84,0.83,0.56,0.46,0.51,0.86,0.75,0.38,0.50,0.55,0.73,0.75,0.88,0.56,0.47,0.44,0.34,0.38,0.31,0.53,0.41,0.40,0.61,0.50,0.45,0.38,0.58,0.49,0.50,0.86,0.90,0.55,0.37,0.95,0.34,0.62,0.51,0.59,0.62,0.73,0.78,0.50,0.47,0.52,0.46,0.40,0.94,0.59,0.58,0.77,0.50,0.91,0.34,0.54,0.53,0.55,0.22,0.34,0.88,0.89,0.84,0.83,0.49,0.43,0.28,0.41,0.31
6.3 Administrative proceedings are conducted without unreasonable delay,0.23,0.38,0.36,0.77,0.72,0.37,0.60,0.50,0.39,0.46,0.51,0.29,0.43,0.49,0.47,0.15,0.69,0.70,0.51,0.33,0.43,0.28,0.48,0.81,0.31,0.42,0.20,0.54,0.67,0.28,0.70,0.66,0.50,0.50,0.42,0.50,0.31,0.78,0.35,0.24,0.51,0.51,0.34,0.39,0.69,0.37,0.47,0.24,0.52,0.43,0.16,0.55,0.29,0.33,0.52,0.45,0.45,0.44,0.41,0.41,0.46,0.83,0.74,0.37,0.29,0.83,0.30,0.38,0.35,0.36,0.45,0.42,0.84,0.50,0.46,0.47,0.45,0.24,0.71,0.61,0.33,0.49,0.34,0.86,0.33,0.38,0.33,0.52,0.25,0.44,0.58,0.65,0.52,0.54,0.51,0.17,0.38,0.36,0.32
6.4 Due process is respected in administrative proceedings,0.34,0.40,0.39,0.78,0.78,0.40,0.45,0.65,0.34,0.59,0.58,0.53,0.42,0.54,0.25,0.39,0.85,0.53,0.26,0.45,0.41,0.49,0.54,0.80,0.36,0.43,0.42,0.47,0.62,0.18,0.81,0.71,0.34,0.82,0.47,0.52,0.33,0.73,0.53,0.47,0.50,0.49,0.59,0.54,0.77,0.60,0.28,0.33,0.49,0.45,0.35,0.50,0.36,0.40,0.57,0.52,0.23,0.43,0.48,0.36,0.48,0.77,0.82,0.31,0.44,0.84,0.40,0.38,0.46,0.44,0.64,0.53,0.72,0.47,0.37,0.58,0.39,0.36,0.81,0.56,0.55,0.58,0.30,0.74,0.53,0.51,0.48,0.43,0.54,0.45,0.51,0.85,0.68,0.65,0.42,0.15,0.41,0.57,0.39
6.5 The Government does not expropriate without adequate compensation,0.44,0.55,0.43,0.78,0.86,0.47,0.41,0.77,0.38,0.56,0.78,0.57,0.49,0.64,0.31,0.51,0.82,0.76,0.29,0.68,0.62,0.55,0.66,0.83,0.51,0.49,0.56,0.45,0.74,0.46,0.73,0.80,0.53,0.80,0.66,0.67,0.49,0.66,0.51,0.58,0.61,0.55,0.60,0.57,0.81,0.67,0.47,0.52,0.36,0.49,0.49,0.59,0.51,0.58,0.37,0.57,0.39,0.42,0.66,0.34,0.48,0.88,0.77,0.45,0.53,0.89,0.44,0.51,0.58,0.47,0.67,0.61,0.68,0.60,0.37,0.68,0.56,0.48,0.65,0.68,0.68,0.61,0.49,0.83,0.56,0.44,0.66,0.61,0.52,0.36,0.54,0.77,0.60,0.86,0.23,0.22,0.33,0.34,0.18
Factor 7: Civil Justice,0.27,0.50,0.54,0.73,0.75,0.36,0.60,0.69,0.34,0.48,0.61,0.51,0.53,0.54,0.34,0.34,0.72,0.61,0.41,0.49,0.48,0.52,0.65,0.82,0.48,0.41,0.39,0.47,0.72,0.39,0.75,0.69,0.59,0.82,0.59,0.61,0.36,0.72,0.49,0.39,0.47,0.56,0.58,0.47,0.73,0.62,0.47,0.44,0.42,0.45,0.39,0.54,0.41,0.60,0.57,0.39,0.41,0.52,0.50,0.39,0.42,0.84,0.74,0.37,0.50,0.86,0.36,0.45,0.39,0.40,0.62,0.62,0.74,0.59,0.46,0.55,0.45,0.47,0.77,0.61,0.53,0.62,0.41,0.78,0.48,0.39,0.54,0.52,0.48,0.52,0.59,0.72,0.61,0.70,0.48,0.33,0.42,0.47,0.40
7.1 People can access and afford civil justice,0.28,0.58,0.59,0.48,0.62,0.36,0.52,0.58,0.40,0.49,0.53,0.53,0.50,0.35,0.33,0.39,0.54,0.59,0.49,0.53,0.39,0.60,0.64,0.72,0.50,0.48,0.45,0.50,0.57,0.32,0.60,0.60,0.60,0.63,0.48,0.62,0.31,0.59,0.50,0.29,0.51,0.50,0.60,0.43,0.48,0.50,0.39,0.37,0.46,0.51,0.39,0.58,0.30,0.53,0.39,0.36,0.47,0.46,0.42,0.40,0.31,0.69,0.59,0.45,0.47,0.76,0.40,0.52,0.40,0.48,0.51,0.64,0.52,0.57,0.49,0.50,0.48,0.51,0.56,0.61,0.43,0.68,0.31,0.68,0.40,0.47,0.48,0.54,0.46,0.51,0.42,0.54,0.46,0.70,0.45,0.47,0.38,0.41,0.42
7.2 Civil justice is free of discrimination,0.08,0.56,0.75,0.54,0.68,0.35,0.77,0.78,0.45,0.69,0.47,0.69,0.69,0.57,0.32,0.52,0.65,0.65,0.49,0.59,0.55,0.66,0.78,0.91,0.67,0.48,0.39,0.66,0.87,0.39,0.93,0.71,0.64,0.88,0.68,0.84,0.46,0.79,0.46,0.48,0.51,0.52,0.54,0.44,0.81,0.78,0.38,0.41,0.49,0.48,0.25,0.67,0.61,0.62,0.61,0.36,0.57,0.62,0.60,0.38,0.49,0.92,0.75,0.47,0.66,0.91,0.28,0.58,0.45,0.42,0.77,0.87,0.68,0.74,0.52,0.66,0.74,0.64,0.93,0.74,0.47,0.78,0.39,0.79,0.62,0.38,0.71,0.60,0.53,0.74,0.39,0.74,0.51,0.78,0.56,0.65,0.60,0.53,0.43
7.3 Civil justice is free of corruption,0.12,0.37,0.59,0.93,0.86,0.30,0.59,0.82,0.27,0.54,0.79,0.67,0.49,0.55,0.24,0.31,0.86,0.68,0.33,0.53,0.40,0.54,0.68,0.94,0.45,0.37,0.56,0.50,0.89,0.37,0.87,0.77,0.58,0.89,0.56,0.66,0.45,0.84,0.82,0.48,0.36,0.54,0.72,0.67,0.90,0.79,0.42,0.40,0.28,0.45,0.40,0.44,0.31,0.54,0.73,0.39,0.28,0.50,0.47,0.24,0.39,0.94,0.96,0.32,0.49,0.88,0.41,0.44,0.35,0.48,0.79,0.71,0.83,0.62,0.46,0.47,0.40,0.30,0.82,0.64,0.61,0.71,0.59,0.92,0.36,0.62,0.49,0.60,0.37,0.40,0.77,0.87,0.82,0.79,0.40,0.31,0.34,0.45,0.43
7.4 Civil justice is free of improper government influence,0.31,0.42,0.37,0.92,0.81,0.37,0.29,0.75,0.18,0.49,0.60,0.60,0.48,0.54,0.17,0.27,0.88,0.75,0.17,0.55,0.37,0.52,0.70,0.94,0.38,0.26,0.48,0.34,0.83,0.26,0.84,0.74,0.42,0.86,0.69,0.59,0.40,0.74,0.45,0.60,0.58,0.40,0.69,0.64,0.73,0.63,0.27,0.49,0.32,0.39,0.47,0.45,0.35,0.71,0.42,0.48,0.35,0.45,0.46,0.24,0.48,0.85,0.78,0.18,0.48,0.96,0.47,0.38,0.47,0.42,0.73,0.71,0.67,0.54,0.30,0.41,0.37,0.42,0.67,0.70,0.57,0.64,0.44,0.89,0.48,0.35,0.52,0.43,0.49,0.28,0.59,0.80,0.68,0.74,0.29,0.07,0.20,0.44,0.21
7.5 Civil justice is not subject to unreasonable delays,0.48,0.43,0.33,0.60,0.71,0.39,0.74,0.46,0.28,0.34,0.58,0.30,0.39,0.58,0.41,0.33,0.55,0.44,0.67,0.23,0.57,0.17,0.34,0.63,0.45,0.27,0.35,0.43,0.54,0.46,0.62,0.60,0.69,0.77,0.51,0.30,0.22,0.74,0.40,0.25,0.56,0.63,0.35,0.34,0.65,0.43,0.71,0.42,0.53,0.31,0.46,0.43,0.32,0.47,0.64,0.40,0.39,0.68,0.58,0.48,0.46,0.69,0.75,0.34,0.37,0.84,0.31,0.32,0.28,0.25,0.41,0.42,0.67,0.44,0.54,0.63,0.37,0.50,0.89,0.39,0.48,0.38,0.29,0.63,0.41,0.47,0.56,0.41,0.37,0.62,0.71,0.69,0.56,0.58,0.69,0.19,0.56,0.46,0.49
7.6. Civil justice is effectively enforced,0.26,0.51,0.53,0.79,0.88,0.36,0.64,0.68,0.30,0.22,0.64,0.25,0.47,0.48,0.30,0.11,0.80,0.51,0.33,0.37,0.48,0.42,0.67,0.79,0.36,0.33,0.13,0.40,0.65,0.37,0.77,0.72,0.57,0.92,0.49,0.48,0.16,0.62,0.22,0.21,0.29,0.65,0.48,0.27,0.76,0.62,0.58,0.46,0.39,0.48,0.35,0.59,0.33,0.56,0.51,0.30,0.37,0.41,0.46,0.46,0.37,0.95,0.70,0.31,0.45,0.81,0.19,0.34,0.28,0.26,0.47,0.30,0.84,0.52,0.35,0.59,0.31,0.44,0.85,0.38,0.53,0.41,0.35,0.90,0.50,0.13,0.44,0.40,0.50,0.43,0.64,0.65,0.53,0.67,0.47,0.11,0.34,0.49,0.50
"7.7 ADR is accessible, impartial, and effective",0.38,0.59,0.63,0.83,0.71,0.41,0.67,0.75,0.52,0.64,0.64,0.52,0.68,0.70,0.60,0.48,0.80,0.66,0.39,0.66,0.62,0.75,0.72,0.79,0.55,0.67,0.39,0.46,0.69,0.58,0.62,0.69,0.67,0.80,0.70,0.81,0.55,0.71,0.60,0.40,0.45,0.70,0.66,0.49,0.79,0.62,0.53,0.54,0.50,0.52,0.42,0.62,0.65,0.73,0.68,0.45,0.45,0.51,0.52,0.55,0.46,0.80,0.70,0.55,0.59,0.85,0.47,0.58,0.52,0.45,0.66,0.68,0.93,0.68,0.53,0.62,0.46,0.49,0.67,0.79,0.65,0.71,0.47,0.67,0.57,0.29,0.56,0.67,0.63,0.64,0.60,0.77,0.71,0.64,0.53,0.48,0.55,0.50,0.34
Factor 8: Criminal Justice,0.28,0.36,0.37,0.73,0.81,0.29,0.43,0.67,0.23,0.54,0.63,0.37,0.41,0.38,0.29,0.31,0.72,0.57,0.43,0.35,0.40,0.55,0.67,0.84,0.37,0.33,0.41,0.31,0.72,0.45,0.85,0.65,0.51,0.71,0.44,0.46,0.30,0.73,0.53,0.44,0.37,0.38,0.63,0.42,0.69,0.56,0.40,0.33,0.33,0.42,0.33,0.50,0.35,0.48,0.53,0.25,0.33,0.48,0.35,0.32,0.43,0.75,0.72,0.35,0.31,0.83,0.37,0.38,0.37,0.36,0.69,0.59,0.76,0.56,0.36,0.42,0.41,0.32,0.85,0.58,0.45,0.61,0.49,0.78,0.46,0.51,0.45,0.39,0.37,0.33,0.78,0.72,0.65,0.47,0.41,0.16,0.47,0.36,0.36
8.1 Criminal investigation system is effective,0.44,0.47,0.18,0.60,0.84,0.24,0.35,0.52,0.25,0.44,0.62,0.22,0.32,0.43,0.23,0.33,0.73,0.42,0.46,0.20,0.29,0.75,0.49,0.71,0.38,0.28,0.41,0.15,0.57,0.55,0.74,0.57,0.48,0.60,0.40,0.32,0.19,0.69,0.45,0.43,0.31,0.39,0.49,0.21,0.64,0.46,0.38,0.36,0.40,0.29,0.37,0.58,0.35,0.53,0.53,0.15,0.40,0.36,0.50,0.33,0.30,0.56,0.55,0.47,0.34,0.60,0.39,0.26,0.29,0.40,0.69,0.51,0.62,0.60,0.30,0.48,0.51,0.50,0.80,0.60,0.34,0.48,0.25,0.61,0.50,0.46,0.44,0.41,0.32,0.37,0.84,0.62,0.65,0.24,0.54,0.20,0.37,0.41,0.52
8.2 Criminal adjudication system is timely and effective,0.37,0.42,0.32,0.71,0.85,0.33,0.57,0.62,0.13,0.57,0.62,0.32,0.44,0.51,0.41,0.36,0.69,0.62,0.45,0.35,0.54,0.51,0.61,0.80,0.42,0.37,0.43,0.34,0.61,0.47,0.82,0.65,0.57,0.62,0.32,0.45,0.21,0.77,0.54,0.36,0.46,0.45,0.55,0.37,0.60,0.56,0.56,0.31,0.51,0.45,0.35,0.43,0.51,0.57,0.63,0.24,0.47,0.55,0.47,0.37,0.44,0.64,0.66,0.48,0.34,0.72,0.40,0.31,0.21,0.32,0.62,0.44,0.82,0.54,0.44,0.45,0.37,0.34,0.88,0.54,0.46,0.53,0.40,0.72,0.49,0.61,0.52,0.27,0.33,0.43,0.80,0.76,0.70,0.32,0.55,0.11,0.54,0.40,0.52
8.3 Correctional system is effective in reducing criminal behavior,0.14,0.34,0.27,0.64,0.79,0.25,0.32,0.47,0.24,0.36,0.53,0.15,0.34,0.23,0.27,0.16,0.66,0.32,0.50,0.13,0.28,0.36,0.56,0.82,0.16,0.16,0.28,0.03,0.68,0.42,0.80,0.45,0.35,0.69,0.35,0.23,0.11,0.70,0.46,0.40,0.20,0.42,0.46,0.19,0.62,0.53,0.43,0.25,0.31,0.14,0.20,0.49,0.32,0.17,0.44,0.16,0.29,0.50,0.18,0.24,0.30,0.72,0.66,0.16,0.20,0.85,0.27,0.10,0.25,0.18,0.56,0.50,0.75,0.39,0.34,0.22,0.31,0.10,0.93,0.43,0.25,0.63,0.39,0.70,0.33,0.54,0.33,0.37,0.43,0.28,0.86,0.61,0.49,0.30,0.48,0.08,0.54,0.15,0.32
8.4 Criminal system is impartial,0.18,0.34,0.44,0.53,0.68,0.39,0.61,0.61,0.25,0.63,0.67,0.28,0.43,0.45,0.42,0.46,0.49,0.55,0.44,0.40,0.51,0.47,0.79,0.74,0.38,0.31,0.41,0.28,0.68,0.51,0.80,0.68,0.58,0.61,0.40,0.33,0.32,0.64,0.43,0.40,0.35,0.32,0.65,0.44,0.64,0.59,0.24,0.31,0.28,0.52,0.27,0.65,0.40,0.53,0.51,0.19,0.34,0.58,0.29,0.27,0.54,0.70,0.61,0.46,0.39,0.84,0.36,0.68,0.48,0.28,0.76,0.49,0.68,0.63,0.44,0.40,0.41,0.27,0.82,0.52,0.49,0.55,0.71,0.69,0.38,0.39,0.44,0.36,0.42,0.46,0.75,0.59,0.47,0.55,0.38,0.19,0.60,0.41,0.42
8.5 Criminal system is free of corruption,0.25,0.32,0.46,0.86,0.85,0.26,0.50,0.85,0.25,0.57,0.83,0.57,0.38,0.43,0.21,0.28,0.81,0.73,0.53,0.45,0.42,0.57,0.68,0.96,0.41,0.47,0.53,0.44,0.83,0.47,0.92,0.82,0.72,0.85,0.43,0.63,0.41,0.84,0.76,0.52,0.38,0.53,0.75,0.56,0.86,0.62,0.45,0.28,0.28,0.54,0.38,0.54,0.29,0.44,0.69,0.29,0.30,0.45,0.50,0.43,0.44,0.88,0.94,0.38,0.27,0.93,0.35,0.48,0.32,0.56,0.72,0.72,0.88,0.57,0.40,0.52,0.41,0.30,0.89,0.58,0.54,0.72,0.68,0.91,0.42,0.65,0.52,0.60,0.28,0.26,0.78,0.81,0.80,0.72,0.32,0.28,0.53,0.38,0.32
8.6 Criminal system is free of improper government influence,0.23,0.17,0.43,0.99,0.84,0.27,0.24,0.87,0.14,0.56,0.60,0.67,0.52,0.23,0.10,0.24,0.89,0.75,0.19,0.50,0.45,0.58,0.82,0.92,0.42,0.30,0.54,0.47,0.91,0.33,0.98,0.70,0.32,0.82,0.75,0.72,0.44,0.73,0.62,0.63,0.52,0.22,0.87,0.76,0.76,0.66,0.29,0.49,0.22,0.52,0.39,0.27,0.21,0.81,0.42,0.39,0.20,0.52,0.21,0.33,0.57,0.91,0.83,0.17,0.41,0.97,0.54,0.43,0.54,0.42,0.87,0.82,0.82,0.58,0.22,0.40,0.29,0.39,0.79,0.63,0.61,0.62,0.55,0.92,0.69,0.52,0.49,0.25,0.46,0.15,0.77,0.88,0.80,0.65,0.28,0.00,0.26,0.40,0.20
8.7. Due process of law and rights of the accused,0.31,0.44,0.47,0.76,0.83,0.30,0.43,0.77,0.35,0.64,0.58,0.37,0.47,0.37,0.38,0.31,0.74,0.61,0.46,0.43,0.33,0.59,0.78,0.93,0.46,0.42,0.28,0.46,0.77,0.39,0.90,0.71,0.55,0.78,0.41,0.52,0.45,0.77,0.49,0.38,0.35,0.34,0.66,0.39,0.67,0.50,0.45,0.33,0.33,0.44,0.34,0.55,0.38,0.33,0.50,0.30,0.35,0.43,0.30,0.27,0.40,0.83,0.82,0.36,0.22,0.91,0.27,0.38,0.53,0.38,0.64,0.65,0.77,0.62,0.37,0.43,0.57,0.36,0.81,0.77,0.45,0.78,0.45,0.91,0.37,0.42,0.41,0.50,0.31,0.38,0.66,0.77,0.62,0.54,0.33,0.24,0.48,0.33,0.25
