Country,Region,Income Group,Factor 1: Limited Government Powers,1.2 Government powers are effectively limited by the legislature,1.3 Government powers are effectively limited by the judiciary,1.4 Government powers are effectively limited by independent auditing and review,1.5 Government officials are sanctioned for misconduct,1.6 Government powers are subject to non-governmental checks,1.7 Transition of power is subject to the law,Factor 2: Absence of Corruption,2.1 Government officials in the executive branch do not use public office for private gain,2.2 Government officials in the judicial branch do not use public office for private gain,2.3 Government officials in the police and the military do not use public office for private gain,2.4 Government officials in the legislative branch do not use public office for private gain,Factor 3: Order and Security,3.1 Crime is effectively controlled,3.2 Civil conflict is effectively limited,3.3 People do not resort to violence to redress personal grievances,Factor 4: Fundamental Rights,4.1 Equal treatment and absence of discrimination,4.2 The right to life and security of the person is effectively guaranteed,4.3 Due process of law and rights of the accused,4.4 Freedom of opinion and expression is effectively guaranteed,4.5 Freedom of belief and religion is effectively guaranteed,4.6 Freedom from arbitrary interference with privacy is effectively guaranteed,4.7 Freedom of assembly and association is effectively guaranteed,4.8 Fundamental labor rights are effectively guaranteed,Factor 5: Open Government ,5.1 The laws are publicized and accessible,5.2 The laws are stable,5.3 Right to petition the government and public participation,5.4 Official information is available on request,Factor 6: Regulatory Enforcement,6.1 Government regulations are effectively enforced,6.2 Government regulations are applied and enforced without improper influence,6.3 Administrative proceedings are conducted without unreasonable delay,6.4 Due process is respected in administrative proceedings,6.5 The Government does not expropriate without adequate compensation,Factor 7: Civil Justice,7.1 People can access and afford civil justice,7.2 Civil justice is free of discrimination,7.3 Civil justice is free of corruption,7.4 Civil justice is free of improper government influence,7.5 Civil justice is not subject to unreasonable delays,7.6 Civil justice is effectively enforced,"7.7 ADRs are accessible, impartial, and effective",Factor 8: Criminal Justice,8.1 Criminal investigation system is effective,8.2 Criminal adjudication system is timely and effective,8.3 Correctional system is effective in reducing criminal behavior,8.4 Criminal system is impartial,8.5 Criminal system is free of corruption,8.6 Criminal system is free of improper government influence,8.7 Due process of law and rights of the accused,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,Eastern Europe & Central Asia,Low income,0.44,0.58,0.3,0.29,0.31,0.57,0.56,0.26,0.38,0.17,0.37,0.13,0.74,0.78,1,0.43,0.51,0.41,0.46,0.32,0.58,0.62,0.38,0.71,0.62,0.44,0.49,0.45,0.44,0.38,0.43,0.51,0.41,0.47,0.39,0.38,0.46,0.64,0.54,0.19,0.44,0.42,0.49,0.49,0.35,0.39,0.48,0.24,0.3,0.24,0.49,0.32,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Middle East & North Africa,Upper middle income,0.57,0.74,0.47,0.45,0.43,0.76,0.56,0.42,0.38,0.49,0.55,0.27,0.68,0.88,0.75,0.41,0.65,0.49,0.74,0.44,0.77,0.5,0.75,0.8,0.68,0.47,0.45,0.57,0.43,0.43,0.38,0.41,0.26,0.37,0.38,0.5,0.45,0.6,0.42,0.44,0.55,0.2,0.52,0.44,0.49,0.56,0.47,0.12,0.5,0.6,0.72,0.44,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,Sub-Saharan Africa,Low income,0.53,0.73,0.49,0.25,0.32,0.69,0.71,0.36,0.31,0.45,0.45,0.22,0.56,0.52,1,0.16,0.52,0.4,0.43,0.37,0.7,0.73,0.47,0.73,0.35,0.39,0.3,0.33,0.54,0.38,0.23,0.26,0.27,0.13,0.13,0.35,0.33,0.49,0.21,0.41,0.4,0.27,0.29,0.22,0.35,0.38,0.43,0.19,0.14,0.38,0.56,0.37,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,Eastern Europe & Central Asia,Upper middle income,0.52,0.51,0.4,0.56,0.43,0.52,0.69,0.55,0.61,0.4,0.74,0.44,0.75,0.78,1,0.47,0.64,0.68,0.68,0.54,0.53,0.77,0.58,0.71,0.61,0.62,0.71,0.73,0.56,0.49,0.56,0.47,0.54,0.61,0.53,0.66,0.53,0.67,0.54,0.36,0.62,0.37,0.55,0.61,0.53,0.56,0.44,0.42,0.66,0.58,0.54,0.54,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,Sub-Saharan Africa,Low income,0.45,0.5,0.41,0.45,0.44,0.47,0.45,0.39,0.46,0.43,0.39,0.28,0.76,0.73,0.92,0.64,0.58,0.66,0.51,0.45,0.47,0.85,0.33,0.6,0.74,0.50,0.51,0.86,0.37,0.26,0.46,0.49,0.48,0.37,0.46,0.51,0.53,0.5,0.88,0.41,0.54,0.25,0.42,0.75,0.49,0.54,0.61,0.45,0.49,0.34,0.58,0.45,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,Sub-Saharan Africa,Low income,0.49,0.53,0.51,0.43,0.44,0.49,0.51,0.44,0.41,0.65,0.38,0.31,0.69,0.63,1,0.44,0.47,0.56,0.5,0.32,0.5,0.54,0.39,0.58,0.41,0.43,0.4,0.42,0.61,0.29,0.45,0.36,0.4,0.56,0.39,0.54,0.59,0.56,0.75,0.61,0.6,0.41,0.5,0.74,0.45,0.55,0.57,0.18,0.48,0.42,0.65,0.32,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,East Asia & Pacific,Upper middle income,0.57,0.69,0.59,0.56,0.58,0.4,0.59,0.69,0.63,0.66,0.75,0.71,0.86,0.78,1,0.79,0.50,0.69,0.57,0.59,0.4,0.27,0.51,0.34,0.63,0.48,0.65,0.61,0.45,0.23,0.52,0.45,0.6,0.57,0.6,0.39,0.57,0.61,0.6,0.71,0.37,0.53,0.48,0.71,0.61,0.72,0.75,0.44,0.54,0.72,0.5,0.59,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Latin America & Caribbean,Upper middle income,0.55,0.72,0.49,0.49,0.29,0.63,0.68,0.37,0.49,0.34,0.31,0.33,0.50,0.44,0.75,0.3,0.56,0.39,0.49,0.37,0.64,0.63,0.63,0.71,0.65,0.53,0.53,0.65,0.47,0.48,0.49,0.43,0.48,0.52,0.47,0.54,0.40,0.48,0.29,0.37,0.54,0.3,0.28,0.54,0.35,0.43,0.34,0.16,0.31,0.29,0.55,0.37,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,Eastern Europe & Central Asia,Lower middle income,0.43,0.53,0.34,0.42,0.29,0.5,0.53,0.33,0.45,0.17,0.41,0.29,0.77,0.77,1,0.53,0.54,0.63,0.53,0.36,0.5,0.59,0.46,0.65,0.59,0.43,0.54,0.29,0.38,0.51,0.39,0.49,0.46,0.36,0.21,0.43,0.42,0.59,0.58,0.2,0.4,0.32,0.41,0.43,0.40,0.57,0.54,0.22,0.52,0.29,0.33,0.36,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,East Asia & Pacific,Lower middle income,0.50,0.62,0.42,0.35,0.38,0.62,0.61,0.40,0.45,0.46,0.54,0.16,0.75,0.71,1,0.52,0.62,0.67,0.63,0.46,0.62,0.72,0.46,0.72,0.68,0.35,0.38,0.48,0.25,0.28,0.48,0.49,0.47,0.56,0.39,0.46,0.53,0.55,0.6,0.47,0.53,0.6,0.51,0.42,0.54,0.47,0.58,0.53,0.64,0.5,0.63,0.46,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,Middle East & North Africa,Lower middle income,0.57,0.67,0.53,0.42,0.49,0.55,0.77,0.33,0.37,0.38,0.28,0.28,0.72,0.83,0.92,0.42,0.48,0.53,0.35,0.32,0.55,0.46,0.21,0.75,0.64,0.51,0.58,0.54,0.48,0.44,0.47,0.39,0.4,0.45,0.45,0.7,0.54,0.49,0.76,0.39,0.58,0.52,0.45,0.59,0.35,0.6,0.48,0.17,0.2,0.32,0.39,0.32,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,South Asia,Low income,0.51,0.6,0.55,0.35,0.32,0.6,0.61,0.40,0.5,0.3,0.61,0.18,0.69,0.82,0.75,0.49,0.59,0.68,0.62,0.48,0.61,0.61,0.54,0.6,0.56,0.38,0.42,0.2,0.49,0.41,0.44,0.42,0.45,0.27,0.53,0.53,0.43,0.31,0.6,0.27,0.62,0.33,0.31,0.56,0.54,0.5,0.54,0.35,0.63,0.6,0.67,0.48,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Western Europe & North America,High income,0.86,0.87,0.84,0.86,0.77,0.9,0.91,0.93,0.91,0.93,0.96,0.92,0.86,0.91,1,0.67,0.84,0.7,0.94,0.89,0.9,0.88,0.85,0.98,0.55,0.90,0.87,0.93,1,0.81,0.83,0.77,0.88,0.81,0.76,0.92,0.80,0.73,0.84,0.92,0.84,0.61,0.86,0.81,0.80,0.6,0.7,0.79,0.85,0.9,0.87,0.89,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,East Asia & Pacific,High income,0.87,0.91,0.91,0.8,0.8,0.88,0.9,0.92,0.9,0.94,0.95,0.89,0.87,0.86,1,0.76,0.86,0.83,0.92,0.84,0.88,0.89,0.86,0.82,0.85,0.84,0.82,0.91,0.78,0.85,0.82,0.79,0.9,0.82,0.83,0.76,0.76,0.74,0.72,0.97,0.8,0.63,0.69,0.76,0.79,0.79,0.72,0.63,0.71,0.94,0.91,0.84,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,Latin America & Caribbean,Lower middle income,0.31,0.38,0.24,0.24,0.19,0.5,0.3,0.40,0.56,0.23,0.5,0.29,0.64,0.63,1,0.28,0.54,0.48,0.5,0.39,0.5,0.74,0.46,0.54,0.68,0.48,0.54,0.56,0.5,0.31,0.45,0.52,0.54,0.39,0.37,0.42,0.42,0.52,0.52,0.24,0.37,0.29,0.34,0.69,0.42,0.53,0.52,0.2,0.52,0.39,0.41,0.39,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,Sub-Saharan Africa,Lower middle income,0.45,0.62,0.49,0.24,0.32,0.55,0.48,0.25,0.26,0.46,0.21,0.05,0.47,0.49,0.58,0.35,0.45,0.48,0.29,0.21,0.56,0.5,0.35,0.74,0.46,0.35,0.33,0.39,0.4,0.28,0.42,0.36,0.44,0.38,0.37,0.52,0.53,0.55,0.56,0.51,0.56,0.35,0.5,0.66,0.28,0.26,0.27,0.14,0.23,0.32,0.55,0.21,,,,,,,,,,,,,,,,,,,,,,,,
Norway,Western Europe & North America,High income,0.90,0.92,0.91,0.84,0.89,0.9,0.93,0.94,0.94,0.97,0.95,0.91,0.87,0.91,0.92,0.8,0.90,0.84,0.96,0.92,0.9,0.84,0.94,0.9,0.93,0.84,0.74,0.95,0.76,0.93,0.83,0.8,0.92,0.74,0.82,0.86,0.82,0.73,0.81,0.93,0.89,0.69,0.74,0.92,0.85,0.79,0.79,0.76,0.83,0.93,0.9,0.92,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,South Asia,Lower middle income,0.46,0.55,0.52,0.31,0.3,0.58,0.5,0.28,0.36,0.36,0.24,0.15,0.29,0.47,0.04,0.37,0.40,0.43,0.27,0.28,0.59,0.41,0.24,0.56,0.4,0.35,0.3,0.37,0.43,0.29,0.36,0.22,0.3,0.38,0.45,0.46,0.39,0.55,0.22,0.38,0.61,0.26,0.23,0.52,0.39,0.28,0.36,0.33,0.41,0.34,0.71,0.28,,,,,,,,,,,,,,,,,,,,,,,,
Panama,Latin America & Caribbean,Upper middle income,0.45,0.37,0.31,0.43,0.27,0.57,0.77,0.41,0.49,0.38,0.58,0.19,0.68,0.64,1,0.41,0.63,0.68,0.71,0.44,0.57,0.68,0.58,0.63,0.72,0.60,0.52,0.72,0.59,0.58,0.52,0.45,0.57,0.47,0.51,0.59,0.51,0.57,0.62,0.4,0.47,0.3,0.5,0.67,0.38,0.41,0.34,0.08,0.38,0.47,0.56,0.44,,,,,,,,,,,,,,,,,,,,,,,,
Peru,Latin America & Caribbean,Upper middle income,0.64,0.72,0.49,0.62,0.38,0.76,0.85,0.37,0.46,0.36,0.34,0.3,0.62,0.5,0.92,0.44,0.70,0.48,0.84,0.61,0.77,0.82,0.77,0.82,0.49,0.43,0.38,0.36,0.48,0.5,0.48,0.39,0.58,0.37,0.47,0.6,0.43,0.49,0.39,0.36,0.52,0.29,0.32,0.65,0.45,0.31,0.25,0.32,0.68,0.34,0.65,0.61,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,East Asia & Pacific,Lower middle income,0.56,0.76,0.54,0.51,0.43,0.69,0.46,0.41,0.47,0.39,0.61,0.19,0.60,0.66,0.67,0.49,0.57,0.57,0.39,0.4,0.69,0.64,0.45,0.77,0.64,0.46,0.52,0.51,0.48,0.31,0.51,0.47,0.66,0.51,0.42,0.48,0.43,0.51,0.38,0.44,0.5,0.26,0.32,0.58,0.42,0.49,0.38,0.24,0.35,0.55,0.52,0.4,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Eastern Europe & Central Asia,High income,0.78,0.83,0.72,0.75,0.61,0.84,0.96,0.72,0.65,0.8,0.88,0.54,0.81,0.85,1,0.58,0.85,0.78,1,0.86,0.85,0.76,0.83,0.91,0.8,0.59,0.67,0.56,0.57,0.57,0.61,0.59,0.71,0.51,0.59,0.66,0.63,0.62,0.74,0.77,0.7,0.32,0.5,0.76,0.73,0.6,0.56,0.56,0.94,0.78,0.83,0.86,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Western Europe & North America,High income,0.71,0.76,0.65,0.66,0.56,0.75,0.9,0.68,0.66,0.77,0.82,0.46,0.74,0.82,1,0.42,0.75,0.63,0.84,0.66,0.75,0.88,0.71,0.83,0.7,0.62,0.53,0.49,0.77,0.67,0.57,0.6,0.71,0.41,0.5,0.64,0.62,0.68,0.77,0.73,0.73,0.27,0.4,0.73,0.62,0.65,0.49,0.47,0.5,0.72,0.88,0.66,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Korea,East Asia & Pacific,High income,0.66,0.54,0.55,0.67,0.6,0.71,0.9,0.74,0.75,0.84,0.86,0.49,0.82,0.86,1,0.59,0.76,0.75,0.83,0.8,0.72,0.75,0.69,0.81,0.73,0.74,0.82,0.79,0.66,0.67,0.67,0.47,0.74,0.84,0.63,0.69,0.72,0.61,0.7,0.78,0.65,0.6,0.75,0.94,0.76,0.57,0.8,0.8,0.78,0.79,0.74,0.8,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Eastern Europe & Central Asia,Upper middle income,0.58,0.59,0.51,0.5,0.47,0.69,0.72,0.50,0.47,0.62,0.64,0.27,0.80,0.82,1,0.59,0.73,0.74,0.84,0.65,0.7,0.82,0.62,0.73,0.74,0.51,0.48,0.53,0.46,0.57,0.54,0.49,0.47,0.61,0.47,0.65,0.59,0.61,0.72,0.57,0.58,0.34,0.5,0.77,0.60,0.72,0.55,0.42,0.71,0.55,0.58,0.65,,,,,,,,,,,,,,,,,,,,,,,,
Russia,Eastern Europe & Central Asia,Upper middle income,0.31,0.32,0.27,0.33,0.29,0.33,0.34,0.39,0.46,0.42,0.46,0.22,0.49,0.57,0.5,0.41,0.47,0.62,0.46,0.32,0.33,0.53,0.39,0.38,0.68,0.41,0.46,0.5,0.33,0.35,0.45,0.54,0.48,0.52,0.3,0.39,0.50,0.54,0.56,0.43,0.42,0.52,0.4,0.6,0.40,0.57,0.42,0.29,0.37,0.39,0.41,0.32,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Sub-Saharan Africa,Lower middle income,0.57,0.51,0.44,0.62,0.51,0.65,0.72,0.49,0.53,0.46,0.6,0.37,0.65,0.74,0.92,0.31,0.62,0.65,0.54,0.41,0.66,0.82,0.46,0.73,0.67,0.41,0.22,0.64,0.43,0.33,0.58,0.42,0.56,0.64,0.54,0.74,0.58,0.55,0.77,0.45,0.54,0.47,0.56,0.7,0.46,0.71,0.52,0.21,0.4,0.5,0.51,0.41,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,Eastern Europe & Central Asia,Upper middle income,0.48,0.55,0.31,0.45,0.31,0.57,0.69,0.42,0.39,0.45,0.56,0.3,0.75,0.86,1,0.39,0.61,0.59,0.57,0.5,0.58,0.78,0.42,0.72,0.72,0.44,0.51,0.39,0.42,0.42,0.43,0.38,0.42,0.51,0.36,0.49,0.47,0.48,0.75,0.39,0.44,0.28,0.38,0.58,0.45,0.3,0.39,0.43,0.59,0.47,0.47,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,Sub-Saharan Africa,Low income,0.55,0.67,0.44,0.45,0.45,0.67,0.63,0.36,0.4,0.35,0.3,0.39,0.64,0.46,1,0.47,0.63,0.55,0.61,0.4,0.67,0.8,0.58,0.66,0.76,0.26,0.36,0,0.46,0.2,0.33,0.4,0.42,0,0.34,0.5,0.54,0.7,0.71,0.35,0.56,0.37,0.48,0.63,0.36,0.53,0.36,0.11,0.28,0.29,0.54,0.4,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,East Asia & Pacific,High income,0.73,0.65,0.7,0.88,0.82,0.51,0.82,0.91,0.88,0.92,0.88,0.95,0.93,0.96,1,0.82,0.73,0.82,0.87,0.85,0.52,0.79,0.77,0.5,0.69,0.67,0.79,0.89,0.6,0.41,0.80,0.82,0.95,0.83,0.77,0.66,0.79,0.61,0.9,0.88,0.69,0.82,0.85,0.76,0.87,0.93,0.9,0.95,0.82,0.88,0.72,0.85,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,Eastern Europe & Central Asia,High income,0.64,0.71,0.54,0.66,0.49,0.68,0.77,0.62,0.61,0.75,0.6,0.52,0.80,0.92,1,0.48,0.78,0.62,0.91,0.72,0.69,0.83,0.82,0.81,0.81,0.63,0.66,0.64,0.55,0.69,0.59,0.5,0.56,0.63,0.54,0.71,0.60,0.68,0.69,0.64,0.66,0.28,0.41,0.81,0.59,0.69,0.56,0.44,0.61,0.62,0.52,0.72,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,Sub-Saharan Africa,Upper middle income,0.62,0.72,0.63,0.53,0.43,0.7,0.73,0.50,0.39,0.67,0.61,0.33,0.56,0.33,1,0.34,0.64,0.49,0.65,0.52,0.7,0.78,0.6,0.78,0.62,0.61,0.61,0.71,0.62,0.5,0.54,0.51,0.59,0.43,0.52,0.66,0.55,0.49,0.47,0.64,0.62,0.41,0.52,0.67,0.49,0.44,0.46,0.26,0.51,0.62,0.64,0.52,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Western Europe & North America,High income,0.75,0.8,0.74,0.6,0.58,0.85,0.95,0.80,0.74,0.84,0.9,0.72,0.79,0.9,1,0.46,0.86,0.77,0.86,0.82,0.85,0.85,0.86,0.97,0.89,0.61,0.74,0.62,0.57,0.52,0.67,0.7,0.82,0.56,0.64,0.65,0.65,0.72,0.78,0.77,0.68,0.4,0.46,0.71,0.69,0.61,0.55,0.66,0.68,0.82,0.71,0.82,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,South Asia,Lower middle income,0.56,0.6,0.59,0.5,0.48,0.63,0.58,0.51,0.52,0.64,0.62,0.26,0.54,0.91,0.37,0.32,0.60,0.64,0.35,0.42,0.63,0.78,0.46,0.68,0.83,0.50,0.53,0.64,0.6,0.22,0.52,0.54,0.52,0.57,0.41,0.56,0.52,0.45,0.42,0.56,0.67,0.28,0.58,0.7,0.62,0.68,0.52,0.44,0.78,0.72,0.75,0.42,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Western Europe & North America,High income,0.92,0.89,0.88,0.93,0.88,0.94,0.99,0.96,0.94,0.96,0.98,0.95,0.89,0.91,1,0.76,0.93,0.83,0.97,0.93,0.94,0.93,0.95,0.98,0.9,0.93,0.95,0.95,0.96,0.89,0.89,0.88,0.91,0.91,0.9,0.86,0.78,0.77,0.8,0.92,0.85,0.55,0.83,0.72,0.82,0.63,0.73,0.77,0.89,0.93,0.88,0.93,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,Sub-Saharan Africa,Low income,0.55,0.66,0.5,0.46,0.5,0.59,0.56,0.41,0.44,0.41,0.4,0.38,0.61,0.56,1,0.26,0.53,0.54,0.46,0.38,0.59,0.64,0.46,0.6,0.53,0.41,0.41,0.29,0.57,0.37,0.44,0.34,0.33,0.39,0.59,0.56,0.48,0.47,0.5,0.34,0.56,0.37,0.53,0.63,0.49,0.54,0.55,0.24,0.52,0.47,0.71,0.38,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,East Asia & Pacific,Upper middle income,0.53,0.67,0.49,0.46,0.48,0.66,0.45,0.41,0.43,0.58,0.56,0.06,0.63,0.89,0.58,0.42,0.66,0.61,0.6,0.58,0.66,0.68,0.75,0.73,0.66,0.50,0.49,0.49,0.61,0.43,0.51,0.43,0.62,0.37,0.61,0.5,0.43,0.5,0.35,0.58,0.5,0.32,0.36,0.42,0.59,0.6,0.55,0.62,0.53,0.66,0.6,0.58,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,Middle East & North Africa,Upper middle income,0.58,0.68,0.55,0.51,0.5,0.6,0.61,0.52,0.55,0.55,0.48,0.49,0.79,0.84,1,0.52,0.56,0.62,0.54,0.44,0.61,0.61,0.5,0.6,0.56,0.46,0.5,0.59,0.43,0.34,0.55,0.6,0.55,0.48,0.42,0.68,0.56,0.61,0.71,0.48,0.69,0.41,0.36,0.63,0.52,0.6,0.58,0.39,0.52,0.5,0.64,0.44,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Eastern Europe & Central Asia,Upper middle income,0.47,0.52,0.46,0.39,0.45,0.43,0.6,0.55,0.51,0.61,0.54,0.55,0.63,0.77,0.67,0.46,0.49,0.58,0.54,0.54,0.44,0.59,0.36,0.52,0.38,0.46,0.56,0.64,0.28,0.37,0.55,0.43,0.47,0.66,0.54,0.63,0.55,0.54,0.65,0.6,0.54,0.44,0.43,0.67,0.42,0.43,0.26,0.4,0.41,0.51,0.39,0.54,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Middle East & North Africa,High income,0.55,0.5,0.61,0.63,0.72,0.32,0.54,0.74,0.76,0.78,0.71,0.73,0.91,0.98,1,0.75,0.47,0.48,0.65,0.66,0.31,0.32,0.51,0.25,0.59,0.44,0.58,0.55,0.42,0.2,0.65,0.69,0.76,0.64,0.58,0.57,0.60,0.5,0.44,0.74,0.7,0.57,0.61,0.66,0.75,0.88,0.73,0.72,0.8,0.73,0.72,0.66,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,Sub-Saharan Africa,Low income,0.43,0.46,0.48,0.36,0.44,0.47,0.39,0.32,0.3,0.43,0.25,0.31,0.48,0.53,0.66,0.25,0.43,0.49,0.33,0.29,0.47,0.67,0.2,0.58,0.43,0.36,0.32,0.29,0.5,0.32,0.38,0.34,0.28,0.26,0.51,0.54,0.51,0.53,0.53,0.42,0.56,0.29,0.54,0.72,0.43,0.54,0.41,0.39,0.42,0.36,0.6,0.29,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Eastern Europe & Central Asia,Lower middle income,0.36,0.41,0.23,0.25,0.25,0.52,0.51,0.25,0.24,0.38,0.38,0.02,0.74,0.78,1,0.45,0.58,0.62,0.56,0.43,0.52,0.65,0.54,0.67,0.67,0.44,0.41,0.49,0.27,0.57,0.35,0.36,0.25,0.52,0.28,0.37,0.52,0.58,0.78,0.35,0.29,0.51,0.46,0.66,0.39,0.48,0.44,0.38,0.51,0.26,0.26,0.43,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Western Europe & North America,High income,0.79,0.8,0.76,0.79,0.74,0.77,0.85,0.80,0.82,0.87,0.85,0.66,0.84,0.88,1,0.65,0.78,0.69,0.86,0.82,0.77,0.83,0.81,0.79,0.69,0.78,0.75,0.78,0.78,0.83,0.79,0.74,0.84,0.74,0.84,0.78,0.72,0.66,0.73,0.84,0.78,0.58,0.64,0.82,0.75,0.78,0.79,0.6,0.67,0.8,0.82,0.82,,,,,,,,,,,,,,,,,,,,,,,,
United States,Western Europe & North America,High income,0.77,0.88,0.76,0.75,0.66,0.8,0.77,0.78,0.77,0.88,0.83,0.62,0.83,0.86,1,0.62,0.73,0.52,0.76,0.62,0.8,0.82,0.8,0.85,0.63,0.77,0.77,0.79,0.78,0.73,0.70,0.65,0.85,0.63,0.75,0.64,0.65,0.53,0.53,0.86,0.75,0.44,0.63,0.83,0.65,0.78,0.76,0.46,0.38,0.77,0.8,0.62,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,Latin America & Caribbean,Upper middle income,0.70,0.72,0.68,0.54,0.64,0.74,0.91,0.78,0.82,0.81,0.77,0.71,0.70,0.72,1,0.37,0.75,0.69,0.81,0.53,0.74,0.87,0.77,0.82,0.75,0.62,0.59,0.64,0.65,0.6,0.71,0.69,0.82,0.55,0.64,0.85,0.71,0.79,0.78,0.78,0.72,0.49,0.72,0.72,0.50,0.49,0.4,0.23,0.45,0.73,0.69,0.53,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,Eastern Europe & Central Asia,Lower middle income,0.24,0.05,0.19,0.32,0.36,0.13,0.37,0.30,0.29,0.29,0.33,0.3,0.89,0.94,1,0.72,0.34,0.64,0.3,0.25,0.13,0.55,0.17,0.24,0.42,0.36,0.37,0.46,0.33,0.26,0.46,0.67,0.5,0.49,0.37,0.26,0.49,0.59,0.58,0.28,0.21,0.61,0.51,0.66,0.36,0.58,0.51,0.35,0.37,0.29,0.15,0.25,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,Latin America & Caribbean,Upper middle income,0.25,0.29,0.23,0.14,0.14,0.4,0.3,0.32,0.39,0.24,0.37,0.29,0.51,0.31,1,0.22,0.48,0.5,0.32,0.25,0.4,0.81,0.33,0.6,0.65,0.36,0.53,0.31,0.38,0.22,0.33,0.45,0.45,0.27,0.18,0.28,0.38,0.55,0.61,0.31,0.27,0.14,0.2,0.57,0.24,0.36,0.2,0.05,0.27,0.3,0.23,0.25,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,East Asia & Pacific,Lower middle income,0.40,0.33,0.28,0.47,0.58,0.27,0.5,0.43,0.4,0.28,0.47,0.57,0.82,0.9,0.92,0.65,0.48,0.6,0.74,0.59,0.27,0.29,0.67,0.18,0.51,0.35,0.43,0.47,0.33,0.16,0.39,0.49,0.34,0.44,0.35,0.34,0.43,0.48,0.57,0.24,0.23,0.49,0.39,0.64,0.57,0.6,0.65,0.57,0.7,0.52,0.36,0.59,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Sub-Saharan Africa,Lower middle income,0.51,0.53,0.35,0.62,0.52,0.37,0.64,0.44,0.41,0.49,0.38,0.48,0.67,0.63,1,0.39,0.41,0.45,0.51,0.35,0.37,0.35,0.58,0.34,0.31,0.39,0.45,0.46,0.44,0.2,0.41,0.43,0.44,0.13,0.62,0.42,0.46,0.36,0.51,0.42,0.34,0.34,0.47,0.77,0.37,0.51,0.41,0.15,0.42,0.39,0.34,0.35,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Sub-Saharan Africa,Low income,0.25,0.36,0.29,0.22,0.36,0.13,0.14,0.26,0.28,0.4,0.24,0.13,0.59,0.63,0.75,0.38,0.31,0.36,0.32,0.3,0.14,0.61,0.19,0.18,0.4,0.24,0.24,0.28,0.21,0.24,0.35,0.42,0.34,0.34,0.48,0.17,0.40,0.4,0.23,0.42,0.38,0.34,0.48,0.54,0.43,0.58,0.49,0.36,0.57,0.29,0.44,0.3,,,,,,,,,,,,,,,,,,,,,,,,
