NUMBER,TEXT,A,B,C,D,E
77,Does the Mid-Year Review of the budget include updated expenditure estimates for the budget year underway?,"Yes, expenditure estimates have been updated, and an explanation of all of the differences between the original and updated expenditure estimates is presented.","Yes, expenditure estimates have been updated, and an explanation of some of the differences between the original and updated expenditure estimates is presented.","Yes, expenditure estimates have been updated, but an explanation of the differences between the original and updated expenditure estimates is not presented.","No, expenditure estimates have not been updated.",Not applicable/other.
78,"Does the Mid-Year Review of the budget present expenditure estimates by any of the three expenditure classifications (by administrative, economic, or functional classification)?","Yes, the Mid-Year Review presents expenditure estimates by all three expenditure classifications (by administrative, economic, and functional classification).","Yes, the Mid-Year Review presents expenditure estimates by two of the three expenditure classifications.","Yes, the Mid-Year Review presents expenditure estimates by only one of the three expenditure classifications.","No, the Mid-Year Review does not present expenditure estimates by any expenditure classification.",Not applicable/other.
79,Does the Mid-Year Review of the budget present expenditure estimates for individual programs?,"Yes, the Mid-Year Review presents estimates for programs accounting for all expenditures.","Yes, the Mid-Year Review presents estimates for programs accounting for at least two-thirds of, but not all, expenditures.","Yes, the Mid-Year Review presents estimates for programs accounting for less than two-thirds of expenditures.","No, the Mid-Year Review does not present expenditure estimates by program.",Not applicable/other.
80,Does the Mid-Year Review of the budget include updated revenue estimates for the budget year underway?,"Yes, revenue estimates have been updated, and an explanation of all of the differences between the original and updated revenue estimates is presented.","Yes, revenue estimates have been updated, and an explanation of some of the differences between the original and updated revenue estimates is presented.","Yes, revenue estimates have been updated, but an explanation of the differences between the original and updated revenue estimates is not presented.","No, revenue estimates have not been updated.",Not applicable/other.
81,Does the Mid-Year Review of the budget present revenue estimates by category (such as tax and non-tax)?,"Yes, the Mid-Year Review presents revenue estimates by category.","No, the Mid-Year Review does not present revenue estimates by category.",Not applicable/other.,,
82,Does the Mid-Year Review of the budget present individual sources of revenue?,"Yes, the Mid-Year Review presents individual sources of revenue accounting for all revenue.","Yes, the Mid-Year Review presents individual sources of revenue accounting for at least two-thirds of, but not all, revenue.","Yes, the Mid-Year Review presents individual sources of revenue accounting for less than two-thirds of all revenues.","No, the Mid-Year Review does not present individual sources of revenue.",Not applicable/other.
83,"Does the Mid-Year Review of the budget include updated estimates of government borrowing and debt, including its composition, for the budget year underway?","Yes, estimates of government borrowing and debt have been updated, and information on all of the differences between the original and updated estimates is presented.","Yes, estimates of government borrowing and debt have been updated, and information on some of the differences between the original and updated estimates is presented.","Yes, estimates of government borrowing and debt have been updated, but information on the differences between the original and updated estimates is not presented.","No, estimates of government borrowing and debt have not been updated.",Not applicable/other.
84,Does the Year-End Report present the differences between the enacted levels (including in-year changes approved by the legislature) and the actual outcome for expenditures?,"Yes, estimates of the differences between the enacted levels and the actual outcome for all expenditures are presented, along with a narrative discussion.","Yes, estimates of the differences between the enacted levels and the actual outcome for all expenditures are presented, but a narrative discussion is not included.","Yes, estimates of the differences between the enacted levels and the actual outcome for some but not all expenditures are presented.","No, estimates of the differences between the enacted levels and the actual outcome for expenditures are not presented.",Not applicable/other.
85,"Does the Year-End Report present expenditure estimates by any of the three expenditure classifications (by administrative, economic, or functional classification)?","Yes, the Year-End Report presents expenditure estimates by all three expenditure classifications (by administrative, economic, and functional classification).","Yes, the Year-End Report presents expenditure estimates by two of the three expenditure classifications.","Yes, the Year-End Report presents expenditure estimates by only one of the three expenditure classifications.","No, the Year-End Report does not present expenditure estimates by any expenditure classification.",Not applicable/other.
86,Does the Year-End Report present expenditure estimates for individual programs?,"Yes, the Year-End Report presents estimates for programs accounting for all expenditures.","Yes, the Year-End Report presents estimates for programs accounting for at least two-thirds of, but not all, expenditures.","Yes, the Year-End Report presents estimates for programs accounting for less than two-thirds of expenditures.","No, the Year-End Report does not present expenditure estimates by program.",Not applicable/other.
87,Does the Year-End Report present the differences between the enacted levels (including in-year changes approved by the legislature) and the actual outcome for revenues?,"Yes, estimates of the differences between the enacted levels and the actual outcome for all revenues are presented, along with a narrative discussion.","Yes, estimates of the differences between the enacted levels and the actual outcome for all revenues are presented, but a narrative discussion is not included.","Yes, estimates of the differences between the enacted levels and the actual outcome for some but not all revenues are presented.","No, estimates of the differences between the enacted levels and the actual outcome for revenues are not presented.",Not applicable/other.
88,Does the Year-End Report present revenue estimates by category (such as tax and non-tax)?,"Yes, the Year-End Report presents revenue estimates by category.","No, the Year-End Report does not present revenue estimates by category.",Not applicable/other.,,
89,Does the Year-End Report present individual sources of revenue?,"Yes, the Year-End Report presents individual sources of revenue accounting for all revenue.","Yes, the Year-End Report presents individual sources of revenue accounting for at least two-thirds of, but not all, revenue.","Yes, the Year-End Report presents individual sources of revenue accounting for less than two-thirds of all revenues.","No, the Year-End Report does not present individual sources of revenue.",Not applicable/other.
90,"Does the Year-End Report present the differences between the original estimates of government borrowing and debt, including its composition, for the fiscal year and the actual outcome for that year?","Yes, estimates of the differences between all of the original estimates of government borrowing and debt for the fiscal year and the actual outcome for that year are presented, along with a narrative discussion.","Yes, estimates of the differences between all the original estimates of government borrowing and debt for the fiscal year and the actual outcome for that year are presented, but a narrative discussion is not included.","Yes, estimates of the differences between some but not all of the original estimates of government borrowing and debt for the fiscal year and the actual outcome for that year are presented.","No, estimates of the differences between the original estimates of government borrowing and debt for the fiscal year and the actual outcome for that year is not presented.",Not applicable/other.
91,Does the Year-End Report present the differences between the original macroeconomic forecast for the fiscal year and the actual outcome for that year?,"Yes, estimates of the differences between all of the original macroeconomic assumptions for the fiscal year and the actual outcome for that year are presented, along with a narrative discussion.","Yes, estimates of the differences between all the original macroeconomic assumptions for the fiscal year and the actual outcome for that year are presented, but a narrative discussion is not included.","Yes, estimates of the differences between some but not all of the original macroeconomic assumptions for the fiscal year and the actual outcome for that year are presented.","No, estimates of the differences between the original macroeconomic forecast for the fiscal year and the actual outcome for that year is not presented.",Not applicable/other.
92,Does the Year-End Report present the differences between the original estimates of nonfinancial data on inputs and the actual outcome?,"Yes, estimates of the differences between all of the original estimates of nonfinancial data on inputs and the actual outcome are presented, along with a narrative discussion.","Yes, estimates of the differences between all of the original estimates of nonfinancial data on inputs and the actual outcome are presented, but a narrative discussion is not included.","Yes, estimate of the differences between some but not all of the original estimates of nonfinancial data on inputs and the actual outcome are presented.","No, estimates of the differences between the original estimates of nonfinancial data on inputs and the actual outcome are not presented.",Not applicable/other.
93,Does the Year-End Report present the differences between the original estimates of nonfinancial data on results and the actual outcome?,"Yes, estimates of the differences between all of the original estimates of nonfinancial data on results and the actual outcome are presented, along with a narrative discussion.","Yes, estimates of the differences between all of the original estimates of nonfinancial data on results and the actual outcome are presented, but a narrative discussion is not included.","Yes, estimate of the differences between some but not all of the original estimates of nonfinancial data on results and the actual outcome are presented.","No, estimates of the differences between the original estimates of nonfinancial data on results and the actual outcome are not presented.",Not applicable/other.
94,Does the Year-End Report present the differences between the enacted level of funds for policies (both new proposals and existing policies) that are intended to benefit directly the country’s most impoverished populations and the actual outcome?,"Yes, estimates of the differences between the enacted level for all policies that are intended to benefit directly the country’s most impoverished populations and the actual outcome are presented, along with a narrative discussion.","Yes, estimates of the differences between the enacted level for all policies that are intended to benefit directly the country’s most impoverished populations and the actual outcome are presented, but a narrative discussion is not included.","Yes, estimates of the differences between the enacted level for some but not all of the policies that are intended to benefit directly the country’s most impoverished populations and the actual outcome are presented.","No, estimates of the differences between the enacted level for policies that are intended to benefit directly the country’s most impoverished populations and the actual outcome are not presented.",Not applicable/other.
95,Does the Year-End Report present the differences between the original estimates of extra-budgetary funds and the actual outcome?,"Yes, estimates of the differences between all of the original estimates of extra-budgetary funds and the actual outcome are presented, along with a narrative discussion.","Yes, estimates of the differences between all of the original estimates of extra-budgetary funds and the actual outcome are presented, but a narrative discussion is not included.","Yes, estimates of the differences between some but not all of the original estimates of extra-budgetary funds and the actual outcome are presented.","No, estimates of the differences between the original estimates of extra-budgetary funds and the actual outcome is not presented.",Not applicable/other.
96,Is a financial statement included as part of the Year-End Report or released as a separate report?,"Yes, a financial statement is part of the Year-End Report or is released as a separate report.","No, a financial statement is neither part of the Year-End Report nor released as a separate report.",Not applicable/other.,,
97,"What type of audits (compliance, financial, or performance) has the Supreme Audit Institution (SAI) conducted and made available to the public?","The SAI has conducted all three types of audits (compliance, financial, or performance) and made them available to the public.","The SAI has conducted two of the three types of audits, and made them available to the public.","The SAI has conducted one of the three types of audits, and made them available to the public.","The SAI has not conducted any of the three types of audits, or has not made them available to the public.",Not applicable/other.
98,What percentage of expenditures within the mandate of the Supreme Audit Institution (SAI) has been audited?,All expenditures within the SAI’s mandate have been audited.,"Expenditures representing at least two-thirds of, but not all, expenditures within the SAI’s mandate have been audited.",Expenditures representing less than two-thirds of expenditures within the SAI’s mandate have been audited.,No expenditures have been audited.,Not applicable/other.
99,What percentage of extra-budgetary funds within the mandate of the Supreme Audit Institution (SAI) has been audited?,All extra-budgetary funds within the SAI’s mandate have been audited.,"Extra-budgetary funds accounting for at least two-thirds of, but not all, expenditures associated with extra-budgetary funds within the SAI’s mandate have been audited.",Extra-budgetary funds accounting for less than two-thirds of expenditures associated with extra-budgetary funds within the SAI’s mandate have been audited.,No extra-budgetary funds have been audited.,Not applicable/other.
100,Does the annual Audit Report(s) prepared by the Supreme Audit Institution (SAI) include an executive summary?,"Yes, the annual Audit Report(s) includes one or more executive summaries summarizing the report’s content.","No, the annual Audit Report(s) does not include an executive summary.",Not applicable/other.,,
101,Does the executive make available to the public a report on what steps it has taken to address audit recommendations or findings that indicate a need for remedial action?,"Yes, the executive reports publicly on what steps it has taken to address audit findings.","Yes, the executive reports publicly on most audit findings.","Yes, the executive reports publicly on some audit findings.","No, the executive does not report on steps it has taken to address audit findings.",Not applicable/other.
102,Does either the Supreme Audit Institution (SAI) or legislature release to the public a report that tracks actions taken by the executive to address audit recommendations?,"Yes, the SAI or legislature reports publicly on what steps the executive has taken to address all audit recommendations.","Yes, the SAI or legislature reports publicly on most audit recommendations.","Yes, the SAI or legislature reports publicly on some audit recommendations.","No, neither the SAI nor legislature reports on steps the executive has taken to address audit recommendations.",Not applicable/other.
103,Is there an Independent Fiscal Institution (IFI) that conducts budget analyses for the budget formulation and/or approval process? ,"Yes, there is an IFI, its independence is set in law, and it has sufficient staffing and resources, including funding, to carry out its tasks.","Yes, there is an IFI, but either its independence is not set in law or its staffing and resources, including funding, are insufficient to carry out its
tasks.","Yes, there is an IFI, but its independence is not set in law and its staffing and resources, including funding, are insufficient to carry out its tasks.","No, there is no IFI.",Not applicable/other.
104,Does the Independent Fiscal Institution (IFI) publish macroeconomic and/or fiscal forecasts?,"Yes, the IFI publishes its own macroeconomic and fiscal forecasts.","Yes, the IFI publishes its own macroeconomic or fiscal forecast.","No, the IFI does not publish its own macroeconomic or fiscal forecast, but it does publish an assessment of the official macroeconomic and/or
fiscal forecasts produced by the executive.","No, there is no IFI; or the IFI neither publishes its own macroeconomic and/or fiscal forecasts, nor a commentary on the official forecasts
produced by the executive.",Not applicable/other.
105,"Does the Independent Fiscal Institution (IFI) publish its own costings of new policy proposals, to assess their impact on the budget?","Yes, the IFI publishes its own costings of all new policy proposals.","Yes, the IFI publishes its own costings of major new policy proposals.","Yes, the IFI publishes its own costings of a limited number of new policy proposals. ","No, there is no IFI; or the IFI does not publish its own costings of new policy proposals.",Not applicable/other.
106,"In the past 12 months, how frequently did the head or a senior staff member of the Independent Fiscal Institution (IFI) take part and testify in
hearings of a committee of the legislature?","Frequently (i.e., five times or more). ","Sometimes (i.e., three times or more, but less than five times).","Rarely (i.e., once or twice).",Never.,Not applicable/other.
107,Does the full legislature and/or a legislative committee debate budget policy prior to the tabling of the Executive’s Budget Proposal?,"Yes, the full legislature debates budget policy prior to the tabling of the Executive’s Budget Proposal, and approves recommendations for the
upcoming budget."," Yes, a legislative committee debates budget policy prior to the tabling of the Executive’s Budget Proposal, and approves recommendations for the
upcoming budget.","Yes, the full legislature and/or a legislative committee debates budget policy prior to the tabling of the Executive’s Budget Proposal, but it does
not approve recommendations for the upcoming budget.","No, neither the full legislature nor any legislative committee debate budget policy prior to the tabling of the Executive’s Budget Proposal.",Not applicable/other.
108,How far in advance of the start of the budget year does the legislature receive the Executive’s Budget Proposal?,The legislature receives the Executive’s Budget Proposal at least three months before the start of the budget year.,"The legislature receives the Executive’s Budget Proposal at least two months, but less than three months, before the start of the budget year.","The legislature receives the Executive’s Budget Proposal at least one month, but less than two months, before the start of the budget year.","The legislature receives the Executive’s Budget Proposal less than one month before the start of the budget year, or does not receive it all.",Not applicable/other.
109,When does the legislature approve the Executive’s Budget Proposal?,The legislature approves the budget at least one month in advance of the start of the budget year.,"The legislature approves the budget less than one month in advance of the start of the budget year, but at least by the start of the budget year.",The legislature approves the budget less than one month after the start of the budget year.,"The legislature approves the budget more than one month after the start of the budget year, or does not approve the budget.",Not applicable/other.
110,Does the legislature have the authority in law to amend the Executive’s Budget Proposal?,"Yes, the legislature has unlimited authority in law to amend the Executive’s Budget Proposal.","Yes, the legislature has authority in law to amend the Executive’s Budget Proposal, with some limitations.","Yes, the legislature has authority in law to amend the Executive’s Budget Proposal, but its authority is very limited.","No, the legislature does not have any authority in law to amend the Executive’s Budget Proposal.",Not applicable/other.
111,"During the most recent budget approval process, did the legislature use its authority in law to amend the Executive’s Budget Proposal?","Yes, the legislature used its authority in law to amend the Executive’s Budget Proposal, and (at least some of) its amendments were adopted.","Yes, the legislature used its authority in law to propose amendments to the Executive’s Budget Proposal, but no amendments were adopted.","No, while the legislature has the authority in law to propose amendments to the Executive’s Budget Proposal, no amendments were offered.","No, the legislature does not have any such authority.",Not applicable/other.
112,"During the last budget approval process, did a specialized budget or finance committee in the legislature examine the Executive’s Budget
Proposal?
","Yes, a specialized budget or finance committee had at least one month to examine the Executive’s Budget Proposal, and it published a report
with findings and recommendations prior to the budget being adopted.","Yes, a specialized budget or finance committee had less than one month to examine the Executive’s Budget Proposal, and it published a report
with findings and recommendations prior to the budget being adopted.
","Yes, a specialized budget or finance committee examined the Executive’s Budget Proposal, but it did not publish a report with findings and
recommendations prior to the budget being adopted.","No, a specialized budget or finance committee did not examine the Executive’s Budget Proposal.",Not applicable/other.
113,"During the last approval process, did legislative committees, responsible for particular sectors (e.g., health, education, defense, etc.), examine
spending in the Executive’s Budget Proposal related to the sector for which they are responsible?","Yes, sector committees had at least one month to examine the Executive’s Budget Proposal, and they published reports with findings and
recommendations prior to the budget being adopted.","Yes, sector committees had less than one month to examine the Executive’s Budget Proposal, and they published reports with findings and
recommendations prior to the budget being adopted.","Yes, sector committees examined the Executive’s Budget Proposal, but they did not publish reports with findings and recommendations prior to
the budget being adopted.","No, sector committees did not examine the Executive’s Budget Proposal.",Not applicable/other.
114,"In the past 12 months, did a committee of the legislature examine in-year implementation of the Enacted Budget during the relevant budget
execution period?
","Yes, a committee examined in-year implementation on at least three occasions during a fiscal year, and it published reports with findings and
recommendations.","Yes, a committee examined in-year implementation on one or more occasion (but less than three times), and it published a report with findings
and recommendations.","Yes, a committee examined in-year implementation, but it did not publish any report with findings and recommendations.","No, a committee did not examine in-year implementation.",Not applicable/other.
115,"Does the executive seek approval from the legislature prior to shifting funds between administrative units that receive explicit funding in the
Enacted Budget, and is it legally required to do so?","The executive is required by law or regulation to obtain approval from the legislature prior to shifting funds between administrative units, and it
does so in practice.","The executive obtains approval from the legislature prior to shifting funds between administrative units, but is not required to do so by law or
regulation.","The executive is required by law or regulation to obtain approval from the legislature prior to shifting funds between administrative units, but in
practice the executive shifts funds before obtaining approval from the legislature.","There is no law or regulation requiring the executive to obtain approval from the legislature prior to shifting funds between administrative units,
and in practice the executive shifts funds between administrative units before obtaining approval from the legislature.",Not applicable/other.
116," Does the executive seek approval from the legislature prior to spending excess revenue (that is, amounts higher than originally anticipated) that
may become available during the budget execution period, and is it legally required to do so?
","The executive is required by law or regulation to obtain approval from the legislature prior to spending excess revenues, and it does so in
practice.","The executive obtains approval from the legislature prior to spending excess revenue, but is not required to do so by law or regulation.","The executive is required by law or regulation to obtain approval from the legislature prior to spending excess revenues, but in practice the
executive spends these funds before obtaining approval from the legislature.","There is no law or regulation requiring the executive to obtain approval from the legislature prior to spending excess revenues, and in practice the
executive spends these funds before obtaining approval from the legislature.",Not applicable/other.
117,"Does the executive seek approval from the legislature prior to reducing spending below the levels in the Enacted Budget in response to revenue shortfalls (that is, revenues lower than originally anticipated) or other reasons during the budget execution period, and is it legally required to do so?","The executive is required by law or regulation to obtain approval from the legislature prior to reducing spending below the enacted levels in
response to revenue shortfalls or other reasons, and it does so in practice.","The executive obtains approval from the legislature prior to reducing spending below enacted levels, but is not required to do so by law or regulation.","The executive is required by law or regulation to obtain approval from the legislature prior to reducing spending below enacted levels, but in practice the executive implements these cuts before seeking approval from the legislature.","There is no law or regulation requiring the executive to obtain approval from the legislature prior to reducing spending below enacted levels, and in practice the executive implements these spending cuts before seeking prior approval from the legislature.",Not applicable/other.
118,Did a committee of the legislature examine the Audit Report on the annual budget produced by the Supreme Audit Institution (SAI)?,"Yes, a committee examined the Audit Report on the annual budget within three months of its availability, and it published a report with findings
and recommendations.","Yes, a committee examined the Audit Report on the annual budget within six months (but more than three months) of its availability, and it published a report with findings and recommendations.","Yes, a committee examined the Audit Report on the annual budget, but it did so after the report had been available for more than six months or it did not publish any report with findings and recommendations.","No, a committee did not examine the Audit Report on the annual budget.",Not applicable/other.
119,Was the process of appointing (or re-appointing) the current head of the SAI carried out in a way that ensures his or her independence?,"Yes, the head of the SAI may only be appointed by the legislature or judiciary, or the legislature or judiciary must give final consent before the appointment takes effect.","No, the executive may appoint the head of the SAI without the final consent of the legislature or judiciary.",Not applicable/other.,,
120,Must a branch of government other than the executive (such as the legislature or the judiciary) give final consent before the head of the Supreme Audit Institution (SAI) can be removed from office?,"Yes, the head of the SAI may only be removed by the legislature or judiciary, or the legislature or judiciary must give final consent before he or she is removed.","No, the executive may remove the head of the SAI without the final consent of the judiciary or legislature.",Not applicable/other.,,
121,Who determines the budget of the Supreme Audit Institution (SAI)?,"The SAI determines its own budget (i.e., submits it to the executive, which accepts it with little or no change, or directly to the legislature), or
the budget of the SAI is determined by the legislature or judiciary (or some independent body), and the funding level is broadly consistent
with the resources the SAI needs to fulfill its mandate.","The budget of the SAI is determined by the executive, and the funding level is broadly consistent with the resources the SAI needs to fulfill its mandate.","The budget of the SAI is determined by the legislature or judiciary (or some independent body), but the funding level is not consistent with the resources the SAI needs to fulfill its mandate","The budget of the SAI is determined by the executive, and the funding level is not consistent with the resources the SAI needs to fulfill its mandate.",Not applicable/other.
122,Does the Supreme Audit Institution (SAI) have the discretion in law to undertake those audits it may wish to?,The SAI has full discretion to decide which audits it wishes to undertake.,"The SAI has significant discretion, but faces some limitations.","The SAI has some discretion, but faces considerable limitations.",The SAI has no discretion to decide which audits it wishes to undertake.,Not applicable/other.
123,Are the audit processes of the Supreme Audit Institution (SAI) reviewed by an independent agency?,"Yes, an independent agency conducts and publishes a review of the audit processes of the SAI on an annual basis.","Yes, an independent agency conducts and publishes a review of the audit processes of the SAI at least once in the past five years, but not annually.","No, but a unit within the SAI conducts a review of the audit processes of the SAI on a regular basis.","No, the audit processes of the SAI are reviewed neither by an independent agency nor by a unit within the SAI.",Not applicable/other.
124,"In the past 12 months, how frequently did the head or a senior staff member of the Supreme Audit Institution (SAI) take part and testify in hearings of a committee of the legislature?","Frequently (i.e., five times or more).","Sometimes (i.e., three times or more, but less than five times).","Rarely (i.e., once or twice).",Never.,Not applicable/other.
125,Does the executive use participation mechanisms through which the public can provide input during the formulation of the annual budget (prior to the budget being tabled in parliament)?,"Yes, the executive uses open participation mechanisms through which members of the public and government officials exchange views on the budget.","Yes, the executive uses open participation mechanisms through which members of the public provide their inputs on the budget.","Yes, the executive uses participation mechanisms during the budget formulation phase, but either these mechanisms capture only some ad-hoc views, or the executive invites specific individuals or groups for budget discussions (participation is not, in practice, open to everyone).",The requirements for a “c” response or above are not met.,Not applicable/other.
126,"With regard to the mechanism identified in question 125, does the executive take concrete steps to include vulnerable and under-represented parts of the population in the formulation of the annual budget?","Yes, the executive takes concrete steps to include individuals and/or CSOs representing vulnerable and underrepresented parts of the population in the formulation of the annual budget.",The requirements for an “a” response are not met.,Not applicable/other.,,
127,"During the budget formulation stage, which of the following key topics does the executive’s engagement with citizens cover?

For the purpose of this question, key topics are considered to be:

 1. Macroeconomic issues
 2. Revenue forecasts, policies, and administration
 3. Social spending policies
 4. Deficit and debt levels
 5. Public investment projects
 6. Public services",The executive’s engagement with citizens covers all six topics,The executive’s engagement with citizens covers at least three (but less than six) of the above-mentioned topics,The executive’s engagement with citizens covers at least one (but less than three) of the above-mentioned topics,The requirements for a “c” response or above are not met.,Not applicable/other.
128,Does the executive use participation mechanisms through which the public can provide input in monitoring the implementation of the annual budget?,"Yes, the executive uses open participation mechanisms through which members of the public and government officials exchange views on budget implementation.","Yes, the executive uses open participation mechanisms through which members of the public provide their inputs on budget implementation.","Yes, the executive uses participation mechanisms during the budget implementation phase, but either these mechanisms capture only some adhoc views, or the executive invites specific individuals or groups for budget discussions (participation is not, in practice, open to everyone).",The requirements for a “c” response or above are not met.,Not applicable/other.
129,"With regard to the mechanism identified in question 128, does the executive take concrete steps to receive input from vulnerable and underrepresented parts of the population on the implementation of the annual budget?","Yes, the executive takes concrete steps to receive input from individuals from and/or organizations representing vulnerable and underrepresented parts of the population on the implementation of the annual budget.",The requirements for an “a” response are not met.,Not applicable/other.,,
130,"During the implementation of the annual budget, which of the following topics does the executive’s engagement with citizens cover?

For the purpose of this question, key topics are considered to be:

 1. Changes in macroeconomic circumstances
 2. Delivery of public services
 3. Collection of revenue
 4. Implementation of social spending
 5. Changes in deficit and debt levels
 6. Implementation of public investment projects",The executive’s engagement with citizens covers all six topics,The executive’s engagement with citizens covers at least three (but less than six) of the above-mentioned topics,The executive’s engagement with citizens covers at least one (but less than three) of the above-mentioned topics,The requirements for a “c” response or above are not met,Not applicable/other.
131,"When the executive engages with the public, does it provide comprehensive prior information on the process of the engagement, so that the public can participate in an informed manner?

Comprehensive information must include at least three of the following elements:

 1. Purpose
 2. Scope
 3. Constraints
 4. Intended outcomes
 5. Process and timeline",Comprehensive information is provided in a timely manner prior to citizens engagement in both budget formulation and implementation phases.,Comprehensive information is provided in a timely manner prior to citizens engagement only prior to one of the two phases (formulation OR implementation).,"Information is provided in a timely manner in both or one of the two phases, but it is not comprehensive.",The requirements for a “c” response or above are not met.,Not applicable/other.
132,"With regard to the mechanism identified in question 125, does the executive provide the public with feedback on how citizens’ inputs have been used in the formulation of the annual budget?","Yes, the executive provides a written record which includes both the list of the inputs received and a detailed report of how the inputs were used in the formulation of the annual budget.","Yes, the executive provides a written record which includes both the list of inputs received and a summary of the how the inputs were used in the formulation of the annual budget","Yes, the executive provides a written record which includes either the list of the inputs received or a report or summary on how they were used.",The requirements for a “c” response or above are not met.,Not applicable/other.
133,"With regard to the mechanism identified in question 128, does the executive provide the public with information on how citizens’ inputs have been used to assist in monitoring the implementation of the annual budget?","Yes, the executive provides a written record which includes both the list of the inputs received from the public and a detailed report of how the inputs were used to assist in monitoring the annual budget.","Yes, the executive provides a written record which includes both the list of inputs received and a summary of the how the inputs were used to assist in monitoring the annual budget.","Yes, the executive provides a written record which includes either the list of the inputs received or a report or summary on how they were used.",The requirements for a “c” response or above are not met.,Not applicable/other.
134,Are participation mechanisms incorporated into the timetable for formulating the Executive’s Budget Proposal?,"Yes, the executive incorporates participation into its timetable for formulating the Executive’s Budget Proposal and the timetable is available to the public.",The requirements for an “a” response are not met.,Not applicable/other.,,
135,Do one or more line ministries use participation mechanisms through which the public can provide input during the formulation or implementation of the annual budget?,"Yes, at least one line ministry uses open participation mechanisms through which members of the public and government officials exchange views on the budget.","Yes, at least one line ministry uses open participation mechanisms through which members of the public provide their inputs on the budget.","Yes, at least one line ministry uses participation mechanisms during the budget formulation or implementation phase, but either these mechanisms capture only some ad-hoc views, or the executive invites specific individuals or groups for budget discussions (participation is not, in practice, open to everyone).",The requirements for a “c” response or above are not met.,Not applicable/other.
136,Does the legislature or the relevant legislative committee(s) hold public hearings and/or use other participation mechanisms through which the public can provide input during its public deliberations on the formulation of the annual budget (pre-budget and/or approval stages)?,"Yes, public hearings are held, and members of the public/CSOs testify.","Yes, public hearings are held. No testimony from the public is provided during the public hearings, but contributions from the public are received through other means.","Yes, public hearings are held. No testimony from the public is provided during the public hearings, and there are no other mechanisms through which public contributions are received, but the legislature invites specific individuals or groups to testify or provide input (participation is not, in practice, open to everyone).",The requirements for a “c” response or above are not met.,Not applicable/other.
137,"During the legislative deliberations on the annual budget (pre-budget or approval stages), which of the following key topics does the legislature’s (or relevant legislative budget committee) engagement with citizens cover?

For the purpose of this question, key topics are considered to be:

1. Macroeconomic issues
2. Revenue forecasts, policies, and administration
3. Social spending policies
4. Deficit and debt levels
5. Public investment projects
6. Public services",The legislature seeks input on all six topics,The legislature seeks input on at least three (but less than six) of the above-mentioned topics,The legislature seeks input on at least one (but less than three) of the above-mentioned topics,The requirements for a “c” response or above are not met.,Not applicable/other.
138,Does the legislature provide feedback to the public on how citizens’ inputs have been used during legislative deliberations on the annual budget?,"Yes, the legislature provides a written record which includes both the list of the inputs received from the public and a detailed report of how the inputs were used during legislative deliberations on the budget.","Yes, the legislature provides a written record which includes both the list of inputs received and a summary of the how the inputs were used.","Yes, the legislature provides a written record which includes either the list of the inputs received or a report or summary on how they were used.",The requirements for a “c” response or above are not met.,Not applicable/other.
139,Does the legislature hold public hearings and/or use other participation mechanisms through which the public can provide input during its public deliberations on the Audit Report?,"Yes, public hearings on the Audit Report are held, and members of the public/CSOs testify.","Yes, public hearings on the Audit Report are held. No testimony from the public is provided during the hearings, but contributions from the public are received through other means.","Yes, public hearings on the Audit Report are held. No testimony from the public is provided during the hearings and there are no other mechanisms through which public contributions are received, but the legislature invites specific individuals or groups to testify or provide input (participation is not, in practice, open to everyone).",The requirements for a “c” response or above are not met.,Not applicable/other.
140,"Does the Supreme Audit Institution (SAI) maintain formal mechanisms through which the public can suggest issues/topics to include in the SAI’s audit program (for example, by bringing ideas on agencies, programs, or projects that could be audited)?","Yes, the SAI maintains formal mechanisms through which the public can suggest issues/topics to include in its audit program.",The requirements for an “a” response are not met.,Not applicable/other.,,
141,Does the Supreme Audit Institution (SAI) provide the public with feedback on how citizens’ inputs have been used to determine its audit program?,"Yes, the SAI provides a written record which includes both the list of the inputs received and a detailed report of how the inputs were used to determine its audit program.","Yes, the SAI provides a written record which includes both the list of inputs received and a summary of the how the inputs were used to determine its audit program.","Yes, the SAI provides a written record which includes either the list of the inputs received or a report or summary on how they were used.",The requirements for a “c” response or above are not met.,Not applicable/other.
142,"Does the Supreme Audit Institution (SAI) maintain formal mechanisms through which the public can contribute to audit investigations (as respondents, witnesses, etc.)?","Yes, SAI maintains formal mechanisms through which the public can contribute to audit investigations.",The requirements for an “a” response are not met.,Not applicable/other.,,
AR-2,How long after the end of the fiscal year are the final annual expenditures of national departments audited and released (except for secret programs)?,Six months or less after the end of the budget year,"12 months or less, but more than six months, after the end of the budget year","More than 12 months, but within 18 months, after the end of the budget year","Does not release to the public, or is released more than 18 months after the end of the budget year",
EB-2,When is the Enacted Budget made available to the public?,Two weeks or less after the budget has been enacted,Between two weeks and six weeks after the budget has been enacted,"More than six weeks, but less than three months, after the budget has been enacted","Does not release to the public, or is released more than three months after the budget has been enacted",
EBP-2,When is the Executive Budget Proposal made available to the public?,"At least three months in advance of the budget year, and in advance of the budget being approved by the legislature","At least two months, but less than three months, in advance of the budget year, and in advance of the budget being approved by the legislature","Less than two months in advance of the budget year, but at least in advance of the budget being approved by the legislature","Does not release to the public, or is released after the budget has been approved by the legislature",
